#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      231.2   136.5    68.9   109.7   129.0   218.3   240.4   253.0   262.9   273.5   290.3   320.4  1056.1  1150.9  1335.9   4979.6     5000              0  1744821126620
read      240.5   103.7    68.9   131.6   151.6   234.2   260.5   273.9   284.6   295.9   313.2   342.2   464.8  1152.7  2430.2   9991.2    10000              0  1744821133136
read      244.9    86.6    54.7   124.9   150.7   245.9   273.0   287.9   297.5   311.6   328.8   357.0   416.4  1037.7  1181.7  14916.2    15000              0  1744821139651
read      252.2    81.1    68.9   136.2   153.9   251.9   284.0   300.1   312.1   325.8   344.8   372.3   430.7   768.1  2145.0  20016.8    20000              0  1744821146167
read      252.9    84.9    59.1   127.2   145.2   255.3   290.1   307.7   319.6   335.7   355.0   383.4   435.9   553.8  1336.2  24974.9    25000              0  1744821152684
read      254.5    88.0    63.8   126.7   143.5   254.9   294.1   313.8   328.0   344.8   365.8   394.6   451.9   547.7   941.8  30094.3    30000              0  1744821159202
read      246.1    91.5    63.8   119.1   134.3   243.1   285.4   306.2   320.1   339.4   362.6   394.9   459.9   578.1  2205.8  34977.8    35000              0  1744821165717
read      247.1   178.6    68.9   115.5   130.2   241.5   287.1   308.9   323.6   342.6   365.9   398.7   462.7   571.4 10795.0  40106.4    40000              0  1744821172232
read      246.6   203.6    63.8   112.9   126.5   237.3   285.4   308.7   325.2   345.5   369.7   403.6   479.1   690.8 11276.0  45179.4    45000              0  1744821178748
read      243.7   107.7    54.7   112.7   126.1   233.5   286.6   311.7   329.7   350.7   375.5   411.0   478.1   610.5  2859.1  50134.0    50000              0  1744821185266
read      244.1   102.4    63.8   110.3   123.0   232.5   288.4   315.4   335.5   358.4   384.8   421.4   491.3   614.5   925.3  55036.2    55000              0  1744821191782
read      238.6   103.8    59.1   108.1   120.1   223.6   282.5   310.9   330.9   354.2   380.8   417.2   483.0   588.9  1330.8  59883.4    60000              0  1744821198298
read      239.1   112.5    68.9   107.7   119.1   221.4   282.2   312.0   333.4   357.8   385.6   423.9   499.1   660.2  1253.7  65025.8    65000              0  1744821204813
read      236.9   109.6    68.9   107.2   118.5   216.6   278.0   309.3   331.3   356.8   386.2   426.2   497.7   612.4  3188.3  70200.2    70000              0  1744821211329
