#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      271.2   794.8    68.9   104.2   119.6   213.7   236.4   249.8   259.7   272.0   290.2   332.0  1079.8 15481.0 23023.4   4985.8     5000              0  1744821427803
read      249.2   296.3    63.8   119.4   148.1   237.2   262.7   275.9   286.1   296.2   314.5   343.9   460.5  3483.2 11589.8  10005.8    10000              0  1744821434320
read      269.8   469.4    68.9   134.0   155.0   248.4   275.7   290.5   300.8   314.8   332.9   360.5   431.7 10617.5 12684.3  15000.2    15000              0  1744821440835
read      263.1   331.0    68.9   133.3   151.5   254.1   285.3   301.5   314.1   328.6   345.8   373.0   434.1  6103.5 11885.3  19997.8    20000              0  1744821447351
read      262.3   261.3    74.4   132.1   149.8   256.4   291.1   309.9   323.0   339.0   358.6   387.5   452.9  1354.9 11722.3  24966.2    25000              0  1744821453866
read      261.1    89.3    74.4   129.1   146.8   261.1   301.0   322.9   337.7   353.8   372.3   400.2   460.2   629.8  1744.4  30029.2    30000              0  1744821460381
read      257.1   160.1    54.7   121.7   138.4   253.8   295.9   319.4   335.7   353.7   374.8   406.7   468.9   613.0 10460.4  34943.6    35000              0  1744821466897
read      254.6   189.4    59.1   117.3   132.5   247.7   294.7   320.4   337.3   355.7   376.4   408.8   470.1   596.4 10475.8  40023.0    40000              0  1744821473416
read      251.1   103.9    59.1   115.2   129.9   244.1   293.9   320.4   338.5   358.6   382.2   416.9   487.7   666.6  1874.4  44993.4    45000              0  1744821479932
read      251.5   204.4    63.8   112.7   126.7   238.7   291.6   319.6   338.9   359.9   384.4   420.3   495.4   849.9 12256.1  50064.4    50000              0  1744821486449
read      245.3   106.1    63.8   110.2   123.2   233.5   289.9   319.2   339.1   361.0   386.2   421.0   483.4   586.4  1787.1  55074.2    55000              0  1744821492965
read      242.8   104.3    63.8   109.7   122.1   227.3   286.3   316.9   337.8   360.5   387.0   423.8   491.7   610.1  1400.7  59914.4    60000              0  1744821499480
read      238.3   104.9    59.1   107.7   119.5   220.5   279.8   311.7   333.8   357.3   384.8   423.3   492.3   583.0  1570.5  64965.4    65000              0  1744821505995
read      239.9   110.0    63.8   108.1   119.9   220.6   281.4   313.5   335.9   360.7   389.6   428.8   501.3   616.4  1691.5  69922.0    70000              0  1744821512513
read      238.0   111.7    63.8   109.0   120.5   216.3   276.0   309.2   333.0   358.8   388.8   429.5   502.5   642.0  2809.7  74864.0    75000              0  1744821519031
read      236.3   106.5    63.8   109.3   120.5   212.8   272.9   306.2   331.0   358.1   389.0   431.1   506.3   637.1  1282.2  80202.0    80000              0  1744821525547
read      230.9   106.3    63.8   107.1   118.2   206.5   265.3   298.1   323.1   350.2   381.2   423.3   497.3   622.0  2110.8  85105.2    85000              0  1744821532063
read      234.1   114.4    59.1   109.7   120.9   208.8   266.9   300.3   325.5   353.5   385.8   430.1   506.8   658.4  2506.0  89793.2    90000              0  1744821538578
read      233.7   106.0    59.1   109.8   121.4   208.5   266.3   299.9   325.3   353.1   385.1   428.6   507.3   643.4  1803.8  94703.8    95000              0  1744821545093
read      233.9   108.3    68.9   111.6   123.6   208.3   265.1   297.7   322.2   350.1   382.7   427.4   507.2   667.0  2674.4 100120.4   100000              0  1744821551611
read      230.1   105.9    63.8   111.5   123.3   205.4   258.5   290.6   314.7   341.9   374.0   419.8   501.4   668.3  1893.1 104956.6   105000              0  1744821558128
read      230.6   102.8    63.8   111.7   123.8   206.0   258.9   291.2   315.2   342.4   374.1   420.1   503.9   654.1  2345.5 109953.6   110000              0  1744821564644
read      233.2   109.8    68.9   114.2   127.5   210.4   261.3   291.9   314.7   340.8   372.0   417.0   500.6   640.6  4085.0 115038.6   115000              0  1744821571165
