#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      225.7   112.4    80.4   116.7   131.6   217.0   240.7   253.8   264.6   275.8   294.1   324.2  1034.4  1161.3  1335.3   4974.4     5000  1744821722907  1744821727924
read      249.3    91.7    80.4   134.9   155.8   246.8   273.5   289.1   299.9   314.6   332.5   358.6   423.1  1099.4  2823.9  10094.8    10000  1744821729437  1744821734454
read      251.9    74.4    74.4   137.2   156.1   252.5   281.2   297.0   309.7   323.0   340.2   365.7   426.4   683.0  1148.2  14970.3    15000  1744821735965  1744821740979
read      256.6    81.2    74.4   134.8   152.6   257.4   291.1   309.9   322.4   337.2   354.6   379.9   435.6   559.5  1387.3  19961.8    20000  1744821742489  1744821747503
read      263.0   226.1    68.9   130.2   147.6   258.8   296.8   316.6   330.4   345.0   364.8   393.9   456.5   691.0 11175.8  24990.4    25000  1744821749014  1744821754028
read      261.4   101.6    74.4   127.2   143.9   259.3   303.5   325.5   340.4   357.4   376.6   404.7   467.7   625.5  2770.6  30022.6    30000  1744821755539  1744821760554
read      256.2   100.5    68.9   122.6   138.4   252.3   299.4   323.8   339.5   357.0   376.6   406.9   470.1   597.2  1961.1  35018.6    35000  1744821762064  1744821767078
read      257.7   191.2    74.4   117.1   132.0   250.2   301.4   327.7   344.3   363.2   385.5   417.5   481.1   654.1 11124.2  39928.8    40000  1744821768589  1744821773603
read      250.0    99.9    63.8   113.8   127.9   242.4   295.8   323.4   340.7   360.2   383.2   416.8   478.4   590.2  1706.9  44860.6    45000  1744821775113  1744821780127
read      246.4   110.6    74.4   113.0   126.2   233.3   289.2   319.2   338.5   359.5   384.0   418.9   487.4   616.5  2856.5  49836.4    50000  1744821781637  1744821786651
read      246.3   110.3    68.9   109.9   122.3   232.2   290.9   322.7   342.8   364.9   390.8   427.1   495.8   626.4  3077.9  55020.6    55000  1744821788161  1744821793175
read      240.5   109.3    68.9   106.8   118.6   223.7   282.9   315.5   337.3   360.8   387.9   425.6   494.9   618.8  2685.3  60026.6    60000  1744821794687  1744821799701
read      238.4   124.3    68.9   106.5   117.5   219.1   279.5   313.5   336.1   360.3   388.3   426.5   497.5   619.1  1941.0  65082.8    65000  1744821801213  1744821806227
read      234.3   112.2    68.9   105.5   116.4   212.8   272.9   307.7   330.9   356.0   384.9   423.9   496.0   623.3  2560.1  70120.6    70000  1744821807738  1744821812752
read      237.2   108.4    68.9   105.5   116.7   215.2   277.0   313.0   336.7   362.4   392.4   432.5   503.3   624.2   956.6  75212.6    75000  1744821814262  1744821819276
read      234.7   109.0    63.8   105.4   116.7   210.6   271.7   308.3   332.7   358.9   389.7   431.5   504.3   623.7  2038.5  79915.6    80000  1744821820788  1744821825803
read      237.8   111.5    63.8   109.0   120.0   212.0   272.4   310.2   336.1   364.1   396.3   438.8   511.8   678.1  1864.8  85019.5    85000  1744821827312  1744821832326
read      231.7   117.5    68.9   108.1   118.9   204.0   261.8   298.7   326.1   355.0   388.2   431.6   505.2   654.8  2386.9  89881.9    90000  1744821833837  1744821838851
read      235.9   110.7    68.9   110.1   121.2   208.6   266.8   305.2   332.2   361.1   393.7   436.0   509.7   680.5  2295.6  94776.7    95000  1744821840362  1744821845376
read      232.0   111.4    68.9   109.3   120.2   204.2   260.5   297.6   325.1   354.7   388.6   433.0   511.3   653.0  2245.7  99912.4   100000  1744821846886  1744821851901
read      239.0   191.5    68.9   111.6   123.5   209.1   264.7   302.5   330.3   360.3   393.7   437.0   520.6   860.2 11270.8 105036.2   105000  1744821853411  1744821858425
read      234.0   108.3    68.9   110.8   122.4   205.3   260.5   298.5   327.7   358.8   393.7   438.5   520.0   669.8  1207.6 109962.6   110000  1744821859936  1744821864949
read      241.2   115.3    63.8   115.5   128.3   210.9   265.5   305.5   335.8   368.5   403.8   452.2   539.4   721.9  1970.4 114724.2   115000  1744821866459  1744821871474
read      260.5   143.1    68.9   120.6   134.7   225.5   285.5   328.4   359.6   393.0   431.8   488.5   635.3  1168.9  3986.5 120005.2   120000  1744821872984  1744821877998
read      252.3   125.9    68.9   118.6   132.1   218.8   275.8   318.5   350.0   383.7   422.0   474.9   606.0   907.0  2391.7 124826.3   125000  1744821879509  1744821884523
read      285.5   173.4    74.4   123.4   137.9   230.0   301.9   355.6   395.2   440.4   498.7   605.2   908.3  1451.7  2429.5 129891.5   130000  1744821886036  1744821891050
read      376.1   300.0    68.9   137.8   153.1   252.3   371.5   476.5   552.8   648.1   780.7   993.3  1415.3  1965.1  3190.8 135187.5   135000  1744821892559  1744821897574
read      403.1   321.5    74.4   141.9   159.3   266.2   404.8   516.2   597.8   703.2   845.8  1072.3  1509.6  2257.5  3838.6 137627.8   140000  1744821899088  1744821904102
read      496.1   564.8    74.4   166.1   185.6   260.1   303.1   361.0   650.3  1118.2  1368.7  1561.0  2934.0  4181.9  5425.2 130097.9   145000  1744821905613  1744821910627
read      396.8   363.5    74.4   142.4   157.5   234.9   325.8   463.3   572.9   712.8   907.8  1242.8  1663.5  2650.7  3853.8 146891.2   150000  1744821912139  1744821917153
read      483.3   497.1    80.4   167.3   186.4   264.9   331.0   507.1   710.1   941.9  1265.6  1482.7  2518.7  3761.3  4741.4 132989.7   155000  1744821918664  1744821923678
read      454.4   524.7    80.4   161.3   176.8   239.5   277.3   330.0   561.1   888.9  1277.4  1500.6  2709.0  3921.4  4909.0 141384.0   160000  1744821925189  1744821930203
read      472.6   581.3    80.4   161.7   177.6   243.5   281.7   322.7   483.7   983.8  1334.5  1524.4  3117.6  4359.5  5915.3 136860.4   165000  1744821931714  1744821936728
read      480.6   540.5    80.4   163.2   178.8   248.3   301.2   404.4   661.9  1001.9  1325.9  1533.2  2757.6  4121.0  5251.0 134489.8   170000  1744821938238  1744821943252
read      477.0   555.2    74.4   160.8   177.1   249.1   294.6   356.2   588.6   979.2  1330.5  1543.4  2922.7  4110.0  5089.0 135504.0   175000  1744821944762  1744821949776
read      464.4   569.6    74.4   159.4   174.0   237.0   276.7   320.8   459.7   968.5  1334.9  1532.9  2989.2  4344.5  5481.5 139363.6   180000  1744821951287  1744821956301
read      460.3   551.2    74.4   152.8   168.0   237.3   285.2   346.5   528.1   902.1  1304.8  1535.7  2877.3  4096.5  5433.5 140487.2   185000  1744821957810  1744821962824
read      481.5   593.9    74.4   163.1   178.7   245.2   288.9   344.4   512.6   974.8  1343.1  1565.6  3222.3  4563.0  5481.6 134427.7   190000  1744821964336  1744821969350
read      462.6   542.2    74.4   159.9   175.6   243.3   286.4   343.6   558.3   900.9  1293.1  1522.5  2858.7  4210.8  5218.5 139804.1   195000  1744821970861  1744821975875
read      443.4   547.4    74.4   153.5   168.3   229.3   266.0   308.6   460.3   866.8  1282.2  1484.2  2844.7  4256.3  5810.4 145770.2   200000  1744821977386  1744821982400
read      449.7   589.5    80.4   160.8   174.3   228.8   259.6   290.4   351.8   819.9  1307.5  1527.0  3214.7  4604.6  6165.7 143992.9   205000  1744821983909  1744821988923
read      457.6   596.9    80.4   158.4   173.8   232.5   266.3   298.0   370.6   852.6  1314.6  1532.7  3234.3  4633.1  5506.3 141485.7   210000  1744821990434  1744821995447
read      460.8   528.8    74.4   161.1   176.0   245.5   291.0   359.9   594.8   879.7  1257.0  1487.3  2799.1  3863.8  5275.7 140254.4   215000  1744821996959  1744822001973
read      436.0   554.6    80.4   150.2   163.0   222.9   262.5   309.9   419.7   792.0  1253.2  1493.9  2921.5  4295.0  5906.1 148283.2   220000  1744822003484  1744822008498
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 67.67%,3.00%,100.00%
