#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      230.9   116.0    80.4   124.2   139.7   220.0   245.2   259.2   269.4   282.4   300.8   336.2  1038.8  1171.8  1554.2   5046.2     5000  1744822324820  1744822329838
read      245.5    82.1    86.8   138.8   157.2   242.8   269.3   283.7   293.9   307.7   324.4   349.5   414.9  1111.6  1440.7  10034.4    10000  1744822331352  1744822336370
read      251.7    80.7    80.4   136.8   155.0   250.7   281.1   296.9   310.4   325.0   343.1   369.8   428.2  1031.6  2099.7  15058.8    15000  1744822337880  1744822342894
read      263.1    81.9    80.4   137.3   155.8   263.9   297.8   317.4   330.9   345.0   364.4   392.7   448.4   544.1  1617.5  19973.8    20000  1744822344406  1744822349420
read      257.7   122.0    74.4   127.9   145.1   256.9   295.3   316.7   331.1   346.0   366.7   396.6   457.8   587.7  1798.3  25018.4    25000  1744822350930  1744822355944
read      263.5    98.9    74.4   125.3   142.7   262.3   305.2   328.4   343.4   360.9   381.5   412.4   473.3   616.2  2563.1  30113.8    30000  1744822357455  1744822362469
read      255.4    98.2    74.4   121.3   136.9   251.3   297.0   322.0   338.3   356.5   377.6   409.5   474.3   644.3  2227.1  35068.2    35000  1744822363981  1744822368995
read      253.3   130.3    63.8   116.4   131.3   247.6   295.4   322.1   339.6   359.0   381.8   414.8   476.1   601.4  7595.7  40029.1    40000  1744822370507  1744822375521
read      247.3   104.1    68.9   114.4   128.4   237.7   289.7   317.0   336.2   357.1   381.0   414.7   478.1   622.7  1519.4  44885.8    45000  1744822377033  1744822382047
read      248.7   101.6    68.9   112.5   125.9   237.9   293.1   322.2   342.0   363.7   389.3   425.3   493.9   626.1   840.3  50165.2    50000  1744822383559  1744822388573
read      237.6   109.5    68.9   109.6   121.3   222.6   277.9   306.5   326.9   349.0   374.8   412.3   486.7   649.4  1729.4  54675.6    55000  1744822390083  1744822395097
read      235.7   125.3    68.9   106.5   117.7   219.9   276.4   305.5   326.2   348.5   374.8   413.8   492.9   681.2  1659.3  60067.0    60000  1744822396607  1744822401621
read      238.9   110.1    68.9   108.5   119.3   217.6   277.9   310.5   333.5   358.8   388.7   431.1   521.3   712.0  1673.8  64958.8    65000  1744822403131  1744822408145
read      232.4   112.1    63.8   105.2   116.0   210.8   270.3   302.8   326.7   351.9   381.1   421.3   496.3   639.5  2570.8  69854.8    70000  1744822409656  1744822414670
read      233.1   174.7    68.9   107.1   117.6   207.1   266.0   299.3   324.7   351.4   381.5   423.0   499.8   784.6 10855.5  74901.1    75000  1744822416180  1744822421194
read      234.3   108.8    68.9   108.2   119.0   207.5   268.6   304.4   330.5   359.0   391.0   433.3   511.8   685.7  1460.1  80011.2    80000  1744822422704  1744822427718
read      230.9   106.5    68.9   105.9   116.5   205.3   265.8   301.2   327.4   354.8   386.3   428.4   501.9   610.4   934.5  84853.2    85000  1744822429228  1744822434241
read      230.1   112.1    68.9   107.4   117.9   202.2   260.7   296.2   323.6   353.0   386.1   429.7   505.7   665.7  2378.7  89937.5    90000  1744822435755  1744822440769
read      228.9   113.2    68.9   108.3   118.8   200.3   257.5   293.5   320.8   351.0   384.6   428.3   505.4   638.3  2788.0  94774.4    95000  1744822442279  1744822447293
read      233.8   109.1    68.9   108.6   119.6   205.5   264.6   302.4   330.6   360.5   393.2   436.4   521.3   644.3  1576.6 100060.2   100000  1744822448802  1744822453817
read      239.5   124.6    68.9   110.7   122.0   207.2   265.6   305.3   335.2   367.3   402.9   456.5   585.2   911.6  2046.0 104990.6   105000  1744822455326  1744822460341
read      238.4   112.1    68.9   112.1   124.1   209.8   266.7   304.5   333.2   363.7   397.4   443.3   536.9   737.0  2107.7 110163.6   110000  1744822461852  1744822466866
