#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      244.4   304.7    68.9   122.1   139.0   219.1   242.3   255.4   266.0   277.4   294.3   331.5  1090.3  3320.1 11522.2   4932.0     5000 4993728188548728656  1744820825070
read      245.9   102.6    80.4   141.0   160.2   240.4   265.2   278.0   288.1   299.0   316.5   344.7   433.2  1170.3  3112.4  10007.0    10000 4993728188548728656  1744820831587
read      249.9    79.3    74.4   140.0   158.9   249.7   276.4   290.8   300.9   313.9   331.0   358.2   423.0  1064.4  1959.3  15027.0    15000 4993728188548728656  1744820838103
read      254.9   241.6    59.1   134.9   153.2   251.1   280.8   295.8   307.6   319.9   338.9   366.1   424.8  1137.4 11711.2  20075.0    20000 4993728188548728656  1744820844619
read      257.8   218.7    59.1   130.2   147.8   255.1   289.5   307.4   319.5   335.5   354.5   382.3   441.7   807.8 11442.0  25014.0    25000 4993728188548728656  1744820851134
read      252.2    96.3    63.8   124.8   141.9   250.5   290.3   310.3   323.9   341.2   362.3   392.2   454.6   656.3  2882.9  29946.4    30000 4993728188548728656  1744820857648
read      252.5    95.7    59.1   120.5   137.1   249.5   293.7   315.2   331.2   349.7   371.7   402.5   468.9   599.0  1781.5  34989.4    35000 4993728188548728656  1744820864163
read      252.0    95.8    59.1   117.3   132.7   247.0   295.1   317.9   335.0   354.4   377.3   413.0   492.0   661.2   944.1  39950.4    40000 4993728188548728656  1744820870679
read      249.1   100.5    68.9   114.2   128.7   242.5   293.4   317.3   334.6   354.1   377.0   411.1   483.5   688.9  1586.2  45125.6    45000 4993728188548728656  1744820877195
read      247.1   106.4    68.9   111.8   125.2   239.4   292.9   317.7   336.5   357.3   380.9   415.1   479.6   585.7  1761.9  49984.2    50000 4993728188548728656  1744820883712
read      246.1   111.8    63.8   111.1   123.8   232.9   290.2   317.8   337.7   360.0   386.3   423.3   496.5   656.8  2817.2  54928.2    55000 4993728188548728656  1744820890229
read      239.7   106.5    68.9   109.1   120.9   225.5   283.6   310.9   330.7   353.7   379.9   416.4   484.2   603.5  2224.1  59790.6    60000 4993728188548728656  1744820896745
read      239.1   111.7    59.1   108.7   119.9   221.3   281.7   311.1   332.2   356.1   384.0   422.9   497.9   635.8  2964.5  64878.4    65000 4993728188548728656  1744820903261
read      234.1   110.4    63.8   106.4   117.6   214.2   275.4   304.9   325.1   349.5   378.3   419.2   498.6   661.2  2528.6  69956.2    70000 4993728188548728656  1744820909775
read      233.6   113.5    54.7   106.1   117.2   210.8   271.9   302.6   324.2   350.3   380.8   424.0   506.6   800.3  2841.0  74846.8    75000 4993728188548728656  1744820916292
