#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      251.8   650.2    86.8   124.6   140.2   220.0   244.4   258.0   268.4   280.9   298.6   336.5  1073.0  7697.8 31384.2   4946.4     5000  1744822930315  1744822935333
read      270.5   726.9    80.4   134.3   152.2   235.9   261.2   273.5   283.6   294.4   312.1   341.2   456.9 15025.5 23495.2  10035.4    10000  1744822936845  1744822941861
read      254.6   262.8    80.4   139.2   157.3   247.7   274.0   288.1   297.0   311.3   328.5   355.0   421.2  1680.3 11547.3  15015.8    15000  1744822943372  1744822948387
read      262.1   340.8    80.4   136.7   153.7   251.1   281.5   296.6   309.4   323.3   342.3   370.4   434.7  7204.5 11852.1  19907.6    20000  1744822949902  1744822954916
read      251.1    88.5    74.4   133.6   150.2   252.2   284.5   300.9   313.6   328.4   346.1   372.8   434.5   587.2  3064.5  25001.3    25000  1744822956433  1744822961450
read      241.8   191.4    68.9   124.1   139.6   236.7   270.1   287.3   299.1   315.7   337.5   370.2   446.0   638.5 11151.0  30069.8    30000  1744822962962  1744822967976
read      248.2    97.5    74.4   124.7   140.5   247.6   286.6   305.7   319.0   335.4   354.8   382.9   443.0   575.1  3021.8  35028.8    35000  1744822969489  1744822974503
read      243.3    90.1    74.4   121.4   136.6   240.6   282.2   301.9   316.2   333.0   353.0   381.8   441.6   561.5  2313.4  40125.6    40000  1744822976015  1744822981029
read      243.1    89.5    68.9   118.5   133.0   239.4   284.4   305.3   319.9   337.4   358.6   389.7   455.3   578.8  1406.6  44899.9    45000  1744822982542  1744822987556
read      239.9   110.8    68.9   115.3   129.3   232.9   280.1   301.6   316.9   334.9   356.7   388.7   455.3   615.4  3831.9  49946.8    50000  1744822989067  1744822994081
read      236.6   144.4    68.9   112.4   125.2   227.9   276.9   299.7   316.1   334.6   356.7   389.8   458.7   612.4  9136.0  55082.8    55000  1744822995596  1744823000610
read      231.6    92.3    63.8   111.9   124.0   221.0   271.8   295.5   312.6   331.6   354.2   388.1   458.9   605.9  1265.6  60052.4    60000  1744823002122  1744823007137
read      226.6   118.9    68.9   110.0   120.8   213.8   266.4   289.5   305.2   323.3   346.2   381.6   458.9   671.2  2269.3  64884.0    65000  1744823008650  1744823013664
read      227.1   155.2    68.9   105.5   116.2   211.5   268.6   293.1   310.0   329.0   352.8   388.5   463.4   688.3  9869.4  70060.6    70000  1744823015177  1744823020192
read      220.5   103.0    68.9   106.5   116.9   201.9   258.0   283.7   300.4   319.9   344.8   383.8   466.2   681.4  1550.1  74917.4    75000  1744823021704  1744823026718
read      227.5   102.0    68.9   108.7   119.3   204.6   262.4   290.8   310.4   333.4   363.4   411.5   520.8   690.9  1375.4  79895.2    80000  1744823028233  1744823033247
read      217.0    96.6    68.9   105.7   115.6   195.7   252.2   280.2   298.1   319.0   344.5   383.3   462.8   643.3  1972.8  84790.2    85000  1744823034760  1744823039775
read      219.2    96.8    68.9   107.6   117.6   196.6   253.8   283.0   301.7   323.0   349.4   388.3   468.0   668.9  1504.6  90251.4    90000  1744823041289  1744823046303
read      217.9    97.5    68.9   107.7   117.6   194.1   251.2   281.5   300.7   322.2   349.3   388.7   464.0   621.2  1816.4  94850.0    95000  1744823047813  1744823052828
read      214.0    99.7    63.8   106.0   115.8   189.4   244.8   275.8   295.5   317.5   344.5   384.1   462.2   614.9  1261.6  99848.0   100000  1744823054339  1744823059353
read      218.1    99.9    63.8   109.0   118.7   191.9   246.5   278.7   299.6   322.8   351.6   393.4   483.2   727.7  2241.0 104971.4   105000  1744823060866  1744823065880
read      213.4    98.1    68.9   107.5   117.4   188.4   239.1   270.6   291.0   314.1   342.7   384.5   470.7   691.8  1627.4 109878.4   110000  1744823067392  1744823072407
read      212.6   100.8    63.8   108.8   118.6   187.5   235.9   267.5   288.4   311.9   340.5   381.9   463.2   675.2  3268.2 115163.2   115000  1744823073920  1744823078934
read      215.8    95.4    68.9   110.2   120.1   189.6   239.6   271.9   293.8   318.5   347.7   391.3   484.2   708.3  1487.0 120190.8   120000  1744823080450  1744823085465
read      211.3    96.2    68.9   110.6   120.7   187.6   232.0   261.8   283.1   307.5   337.2   378.1   459.8   613.1  1713.8 125020.1   125000  1744823086977  1744823091991
read      212.6    90.9    68.9   111.5   122.0   189.3   233.1   262.6   283.9   308.7   338.5   379.7   461.8   632.6  1535.3 129889.6   130000  1744823093500  1744823098515
read      221.6   113.2    68.9   112.8   123.8   193.8   240.4   271.3   293.9   320.0   353.6   402.6   545.6   930.0  3294.2 134797.0   135000  1744823100026  1744823105040
read      212.9    92.1    68.9   112.1   123.0   190.2   232.6   260.4   280.8   304.8   335.1   378.6   468.3   718.2  1885.5 140065.2   140000  1744823106552  1744823111566
read      215.3   129.9    68.9   113.8   125.2   192.6   233.6   260.4   280.3   304.4   335.0   379.6   474.6   766.0  2983.7 144976.6   145000  1744823113077  1744823118091
read      211.5    97.3    68.9   113.4   124.8   190.9   230.2   255.4   274.4   297.3   327.0   369.7   457.9   723.6  2171.5 149806.6   150000  1744823119602  1744823124618
read      220.1   107.4    68.9   116.3   128.5   198.0   238.4   265.1   285.0   309.2   340.6   389.2   503.3   782.1  2399.6 155235.4   155000  1744823126127  1744823131141
read      214.8   101.8    68.9   115.3   127.1   194.3   232.4   256.8   275.1   297.9   328.7   375.1   483.2   761.5  2621.6 160015.4   160000  1744823132652  1744823137666
read      228.1   137.6    68.9   123.8   137.6   210.2   248.1   271.3   289.0   310.5   338.6   381.9   475.4   820.5  4893.1 164694.8   165000  1744823139177  1744823144191
read      247.5   123.1    68.9   125.8   140.0   222.5   267.7   295.7   317.8   345.5   384.7   449.7   619.0   959.5  1947.0 169847.5   170000  1744823145703  1744823150717
read      236.1   134.0    74.4   126.6   140.1   215.7   255.3   280.1   298.7   321.8   353.7   403.1   529.1   882.7  4322.7 174459.9   175000  1744823152228  1744823157242
read      239.7   102.2    74.4   132.2   147.2   223.8   261.2   283.5   300.3   320.9   349.7   396.5   504.9   807.5  2194.8 180119.0   180000  1744823158759  1744823163773
read      256.6   116.6    74.4   137.9   153.4   235.3   275.8   301.3   320.3   345.0   379.9   440.4   604.9  1021.8  2092.8 183559.0   185000  1744823165287  1744823170302
read      255.8   104.3    74.4   141.0   157.7   239.5   277.4   299.8   317.0   338.8   367.9   417.8   552.5  1016.9  2541.1 189900.1   190000  1744823171829  1744823176844
read      259.7   135.8    74.4   137.1   152.5   234.7   277.4   305.1   326.8   355.5   395.4   462.8   623.1  1008.4  2811.1 190780.8   195000  1744823178359  1744823183373
read      276.3   126.6    80.4   145.9   163.0   250.1   294.1   321.7   344.6   374.0   417.4   493.7   691.2  1080.3  2716.6 191706.0   200000  1744823184887  1744823189902
read      273.2   129.5    74.4   137.8   153.5   244.9   295.7   327.9   353.0   384.5   427.3   497.7   669.8  1121.5  2735.2 193146.5   205000  1744823191413  1744823196427
read      294.6   114.1    80.4   169.2   189.9   278.8   316.5   339.7   357.8   380.0   411.8   467.2   618.0  1063.7  3146.7 201423.0   210000  1744823197940  1744823202954
read      293.6   131.1    74.4   151.3   170.0   268.9   316.7   345.5   368.6   397.4   437.8   515.0   734.6  1229.7  2309.6 196770.8   215000  1744823204464  1744823209479
read      302.7   122.4    68.9   174.7   195.6   287.6   325.9   348.4   366.8   389.3   420.1   471.5   617.5  1260.5  3060.8 202859.1   220000  1744823210989  1744823216003
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 52.49%,1.00%,100.00%
