#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      242.0   114.6   101.3   151.3   167.7   230.1   248.6   258.8   266.6   274.5   288.2   310.9  1020.8  1212.2  1713.9   5000.0     5000  1744995988830  1744995993854
read      249.1    83.4    74.4   151.2   172.4   246.5   266.2   275.6   284.5   293.3   306.8   328.1   400.4  1090.4  1413.4  10037.0    10000  1744995995366  1744996000383
read      251.7    84.0    93.8   148.5   168.6   251.8   273.2   285.9   294.3   305.6   318.6   341.0   392.8  1082.5  2704.2  15083.8    15000  1744996001897  1744996006910
read      253.1    73.0    86.8   143.6   161.9   256.8   281.7   294.2   303.9   314.8   329.0   349.3   398.5   697.7  1959.6  20046.4    20000  1744996008422  1744996013436
read      259.8    74.4    86.8   143.4   161.0   263.8   291.9   306.7   316.7   329.1   343.6   368.0   415.2   533.6  2051.0  24954.2    25000  1744996014948  1744996019962
read      261.3    85.7    80.4   141.0   157.3   265.1   296.7   312.5   322.7   336.0   351.1   374.2   427.8   611.7  2668.2  30039.0    30000  1744996021476  1744996026489
read      257.9    78.1    86.8   139.6   154.7   260.5   295.1   312.2   323.5   337.3   353.9   379.2   430.6   507.6  1224.7  34952.6    35000  1744996028001  1744996033015
read      256.8    88.2    86.8   138.0   152.1   257.1   294.3   313.3   326.2   340.5   358.8   385.3   435.2   546.5  2689.2  39939.0    40000  1744996034527  1744996039542
read      257.5   116.1    86.8   133.4   147.9   256.5   297.8   317.3   331.0   345.4   365.5   393.9   452.7   572.2  5200.8  44950.0    45000  1744996041054  1744996046068
read      254.3    88.7    80.4   131.5   145.1   252.1   297.4   318.2   332.3   346.8   366.9   395.0   450.6   537.3   940.4  50172.8    50000  1744996047579  1744996052593
read      253.6   126.1    80.4   128.3   141.7   246.3   296.1   318.4   333.5   349.7   370.9   401.3   464.9   593.0  5574.0  55061.9    55000  1744996054105  1744996059121
read      255.7   115.3    80.4   127.8   141.6   246.7   298.3   322.0   338.1   356.4   378.7   412.0   483.0   658.9  2725.3  60033.1    60000  1744996060631  1744996065644
read      250.8   101.4    74.4   126.6   139.8   239.1   293.3   319.0   336.1   354.8   376.8   409.2   474.2   618.7  1658.0  64821.0    65000  1744996067157  1744996072170
read      248.5   104.8    80.4   123.5   136.7   234.7   290.3   317.5   334.9   353.9   377.1   411.4   482.0   620.9  1962.2  69932.4    70000  1744996073685  1744996078698
read      248.6   109.0    80.4   125.9   139.1   232.0   286.7   314.4   332.5   352.5   377.0   412.9   491.5   703.6  3174.7  74799.0    75000  1744996080211  1744996085224
read      242.8    97.1    80.4   124.8   137.5   225.3   278.5   307.7   326.7   346.7   371.6   405.7   476.5   622.8  1441.7  79997.2    80000  1744996086737  1744996091750
read      245.9   132.7    80.4   124.2   137.5   226.3   279.2   308.6   328.0   348.9   375.0   414.5   500.3   778.9  5102.8  85105.1    85000  1744996093262  1744996098276
read      244.5   106.5    80.4   124.2   137.3   225.7   278.7   308.1   327.7   348.8   375.1   414.3   498.0   715.7  2840.2  90255.1    90000  1744996099790  1744996104804
read      243.3    96.9    80.4   125.2   138.4   223.4   275.3   305.7   325.9   347.8   374.6   415.0   499.9   697.0  1612.3  94911.3    95000  1744996106318  1744996111332
read      248.2   117.0    80.4   127.4   140.6   227.9   279.2   308.6   328.7   351.1   378.6   420.0   513.7   918.7  3772.1  99804.9   100000  1744996112844  1744996117858
read      246.0   100.9    80.4   128.8   142.0   225.7   274.9   304.3   324.7   347.7   376.7   420.2   512.9   779.5  1699.6 104886.1   105000  1744996119370  1744996124384
read      258.6   113.6    80.4   131.1   145.6   237.1   289.4   318.1   338.8   363.3   394.3   444.4   600.8   862.1  1560.2 110084.1   110000  1744996125897  1744996130911
read      269.4   128.2    80.4   133.1   148.7   245.9   299.3   329.2   350.5   376.1   409.7   468.9   679.7   977.6  2762.3 115022.2   115000  1744996132422  1744996137436
read      269.6   115.9    80.4   138.4   153.9   249.1   298.8   327.4   347.9   372.6   404.3   460.5   634.5   894.0  1747.5 119877.5   120000  1744996138949  1744996143962
