#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      242.5   151.5    74.4   129.2   144.8   221.2   248.1   263.6   274.4   288.9   308.6   353.2   863.4  1674.0  4024.3   4940.6     5000              0  1744819922665
read      272.1   532.0    68.9   131.4   151.8   235.1   263.4   278.1   289.7   302.9   319.5   350.6   726.0 10584.6 12230.7  10025.4    10000              0  1744819929190
read      251.0   286.5    68.9   126.0   147.4   240.6   270.3   285.9   296.3   310.4   327.6   356.3   559.9  2728.9 11541.6  15082.2    15000              0  1744819935705
read      249.4    77.2    74.4   132.9   149.7   249.0   282.5   298.8   310.7   323.5   341.8   370.1   463.1   602.9   928.6  19925.8    20000              0  1744819942220
read      256.9   249.2    63.8   125.6   143.2   253.8   288.7   306.5   318.6   334.2   353.2   384.7   453.8   608.5 12371.7  25024.6    25000              0  1744819948734
read      256.1   114.1    63.8   118.2   135.0   258.4   299.5   319.0   333.0   347.6   367.4   397.0   470.1   635.7  2916.9  30054.0    30000              0  1744819955248
read      252.2    93.3    68.9   120.6   135.8   249.9   294.4   317.0   332.6   349.3   370.2   399.5   460.8   562.7  2183.6  34970.6    35000              0  1744819961763
read      255.5   204.6    63.8   117.4   132.6   248.5   297.6   320.0   335.7   352.9   373.3   404.7   470.7   801.9 11235.8  39925.8    40000              0  1744819968279
read      250.1   103.4    68.9   112.0   126.1   244.5   297.5   323.1   340.1   359.2   381.7   414.6   478.4   632.3  2294.0  45009.6    45000              0  1744819974793
read      244.9   198.7    68.9   111.4   123.8   231.3   286.3   315.0   333.7   353.6   376.4   410.4   473.0   604.4 11553.3  50153.0    50000              0  1744819981308
read      241.3   111.8    68.9   109.4   121.4   228.5   285.2   315.2   334.5   355.3   379.5   414.4   479.8   610.0  2430.5  55082.4    55000              0  1744819987822
read      234.8   109.9    54.7   107.0   118.6   218.1   276.1   307.4   327.8   349.6   374.6   411.1   476.0   596.5  1400.9  59883.5    60000              0  1744819994336
read      240.9   114.8    63.8   107.0   118.4   222.6   284.6   317.2   339.0   362.8   390.5   428.7   499.6   627.7  2480.2  64811.0    65000              0  1744820000851
read      235.1   108.4    68.9   106.1   117.2   213.9   275.4   309.3   332.0   356.7   385.4   425.0   497.9   627.3  1469.1  70039.2    70000              0  1744820007366
read      233.8   110.0    59.1   106.1   117.2   209.5   270.8   306.3   330.3   356.4   386.6   427.9   504.3   671.9  2547.9  74823.2    75000              0  1744820013884
read      233.6   109.8    63.8   107.0   117.9   207.8   269.1   304.6   329.8   357.1   388.5   430.9   508.6   691.5  1711.3  79780.8    80000              0  1744820020400
read      231.8   104.7    63.8   106.8   118.0   207.5   266.4   301.0   325.4   352.2   383.3   425.7   502.8   636.4  1108.9  85034.5    85000              0  1744820026914
read      228.4   103.5    68.9   107.1   117.9   202.7   259.8   293.6   318.8   346.3   378.7   423.2   502.8   647.9  1422.9  90098.3    90000              0  1744820033429
read      230.9   107.9    59.1   107.3   118.7   205.6   263.3   297.2   322.9   350.7   383.3   427.3   503.2   605.6  1316.2  94821.4    95000              0  1744820039946
read      230.6   106.4    59.1   108.9   120.3   204.6   260.7   294.4   319.7   348.1   381.0   426.8   507.2   657.1  1570.8  99846.2   100000              0  1744820046459
read      231.3   111.6    63.8   110.8   122.6   205.7   260.3   293.2   318.2   346.3   379.4   426.1   506.7   637.5  2630.3 104969.0   105000              0  1744820052974
read      238.1   104.0    63.8   113.7   127.2   214.0   267.7   300.5   325.5   353.7   387.0   432.9   520.5   690.3  1701.1 110155.8   110000              0  1744820059492
read      232.7   106.8    68.9   114.0   126.8   208.5   260.2   291.5   315.2   342.6   374.6   421.6   507.6   674.0  2492.3 114958.0   115000              0  1744820066009
read      239.1   138.4    68.9   115.4   129.4   216.4   267.7   298.0   320.8   347.2   379.4   425.7   515.2   693.4  4297.9 119934.4   120000              0  1744820072524
read      243.8   102.3    68.9   121.7   136.9   223.5   272.6   302.2   324.4   350.1   381.6   426.4   508.9   664.8  1916.9 125130.9   125000              0  1744820079039
read      259.1   115.9    68.9   128.2   144.1   238.4   290.3   320.5   343.1   369.2   400.8   449.8   547.4   745.5  3198.5 129942.2   130000              0  1744820085554
read      246.7   103.8    68.9   123.6   138.9   226.9   274.9   303.7   324.6   349.9   381.6   429.7   532.7   731.1  2078.8 134906.6   135000              0  1744820092070
read      252.8   116.5    74.4   129.9   145.8   235.7   282.3   309.0   328.6   352.1   381.9   426.8   521.4   678.8  2603.8 139928.4   140000              0  1744820098585
read      301.0   131.9    63.8   149.4   170.4   283.3   336.6   367.7   390.7   418.0   453.6   506.4   624.3   847.3  4229.6 144724.0   145000              0  1744820105099
read      447.8   158.1    86.8   245.8   273.4   402.7   526.5   577.2   606.9   636.3   672.2   721.3   806.5   971.5  2154.0 141244.4   150000              0  1744820111615
read      463.0   178.3    74.4   259.9   286.3   404.2   543.3   603.0   634.6   666.6   701.0   746.3   845.3  1016.2  3843.0 138063.6   155000              0  1744820118130
read      452.8   210.0    68.9   245.8   273.6   408.5   536.1   583.3   611.2   638.7   673.4   721.3   808.7  1031.2 11487.6 141771.5   160000              0  1744820124644
read      454.5   170.2   101.3   255.9   280.5   401.8   537.6   590.0   618.6   647.7   681.3   729.3   823.4  1013.2  2017.0 141788.4   165000              0  1744820131161
read      493.9   266.3    80.4   280.4   308.4   423.6   562.7   645.0   681.9   717.7   754.8   805.3   919.0  1272.4  7661.6 130673.6   170000              0  1744820137677
read      439.9   185.5    80.4   238.2   263.2   406.0   523.4   564.6   589.1   616.5   646.2   691.8   801.1  1062.2  4814.6 146421.2   175000              0  1744820144191
read      437.2   194.2    80.4   238.1   263.8   402.1   517.4   559.5   584.7   612.3   641.5   686.9   780.6   996.0 11078.1 147434.8   180000              0  1744820150708
read      454.1   166.7    80.4   254.9   280.2   401.0   533.7   588.7   618.8   649.4   683.5   731.8   823.3  1003.0  2770.8 142041.9   185000              0  1744820157224
read      485.0   175.1   101.3   280.5   305.8   418.0   567.9   639.1   671.5   704.0   738.3   788.2   875.9  1072.7  2960.2 133173.4   190000              0  1744820163740
read      458.9   191.0    74.4   258.4   284.4   402.6   537.6   595.6   625.8   657.3   690.3   738.0   831.5  1006.7  4391.0 140623.0   195000              0  1744820170255
read      450.8   194.9    80.4   252.2   276.3   399.7   541.8   586.2   611.7   636.6   668.8   712.5   801.6   995.6  8838.4 143041.0   200000              0  1744820176772
read      455.5   174.0    86.8   257.0   281.2   398.4   544.0   595.3   622.0   649.9   681.8   728.8   815.1  1081.3  4380.1 141594.7   205000              0  1744820183287
read      445.0   156.9    80.4   246.4   270.6   403.2   536.3   577.1   601.2   626.1   656.0   696.5   795.7   984.4  2240.8 144873.8   210000              0  1744820189803
read      465.4   186.9    93.8   259.7   284.7   405.4   558.2   607.7   634.6   663.5   693.2   740.3   843.0  1175.3  4667.3 138697.0   215000              0  1744820196317
read      462.4   165.2   101.3   259.8   284.5   406.5   555.0   604.1   630.8   659.6   689.8   737.0   836.5  1012.5  2186.5 139592.8   220000              0  1744820202834
CPU Usage Stats (avg/min/max): 41.21%,21.11%,51.52%
