#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      224.8   376.7    68.9   114.7   128.3   194.5   218.5   231.3   240.7   252.5   270.0   302.5  1068.8  7719.7 11768.2   5017.4     5000  1744823233460  1744823238478
read      220.6   283.5    74.4   122.9   138.4   205.9   229.7   242.2   251.4   263.5   278.8   307.1   418.0  2960.2 11072.0  10029.4    10000  1744823239992  1744823245009
read      221.1    88.8    74.4   124.5   140.1   218.4   242.9   256.2   266.5   277.6   293.7   321.0   396.0  1088.8  2543.6  14932.6    15000  1744823246520  1744823251535
read      223.1   139.3    74.4   123.7   138.1   220.8   247.3   261.7   271.6   283.8   297.9   325.0   388.3  1026.7  9126.3  20089.0    20000  1744823253046  1744823258060
read      226.0    88.2    74.4   121.8   135.9   223.2   251.6   266.9   277.4   290.8   309.1   340.8   426.9   924.6  2690.5  25060.8    25000  1744823259571  1744823264585
read      233.0    79.0    74.4   120.2   134.5   232.7   265.5   281.7   293.0   307.5   326.2   358.6   429.7   636.4  1144.0  30037.6    30000  1744823266100  1744823271114
read      229.2    83.5    74.4   116.8   130.0   229.5   263.6   280.1   291.9   306.1   323.4   354.3   425.8   589.5  1239.0  34937.2    35000  1744823272625  1744823277639
read      232.2    94.0    74.4   114.8   128.8   230.5   268.0   285.9   297.4   312.9   332.8   364.5   431.9   672.7  2881.2  40024.0    40000  1744823279151  1744823284165
read      229.8    81.5    68.9   113.4   126.3   228.5   268.7   287.3   299.8   315.3   335.4   365.5   429.4   565.9   839.3  45057.8    45000  1744823285678  1744823290692
read      226.8   126.6    68.9   112.6   124.8   221.6   263.6   282.8   295.3   311.0   330.9   363.1   432.7   661.4  3495.6  49860.4    50000  1744823292202  1744823297216
read      225.6    85.7    63.8   110.9   122.4   220.1   265.4   286.1   299.7   315.8   336.7   367.8   432.0   578.2  1299.4  55076.0    55000  1744823298729  1744823303742
read      224.9    95.4    68.9   108.0   119.1   215.5   265.3   287.3   301.9   318.6   341.1   373.9   452.7   670.7  2422.4  60070.8    60000  1744823305253  1744823310267
read      222.4   101.7    68.9   107.2   117.8   209.6   261.9   284.8   299.6   316.8   339.6   373.4   456.1   746.2  2613.1  64929.4    65000  1744823311780  1744823316794
read      226.5   183.2    68.9   107.8   118.2   209.5   264.8   289.3   305.5   323.4   346.6   382.4   462.9   735.2 11758.8  70140.1    70000  1744823318307  1744823323321
read      219.1   123.6    68.9   106.7   117.0   200.8   256.9   282.5   298.7   316.9   340.2   374.0   446.9   605.7  2965.6  75146.6    75000  1744823324834  1744823329848
read      218.3   231.0    68.9   106.5   116.3   197.1   253.4   280.1   296.5   315.5   339.3   374.1   452.5   685.1  2669.3  79950.0    80000  1744823331362  1744823336376
read      215.4    95.3    68.9   106.4   116.2   194.5   250.7   278.2   295.3   314.4   338.9   374.0   453.7   649.1  2071.0  84866.6    85000  1744823337888  1744823342902
read      215.7   107.7    68.9   105.6   115.3   192.7   250.8   280.1   298.0   318.2   343.5   381.3   460.8   622.1  1777.2  89789.6    90000  1744823344411  1744823349425
read      216.3   162.9    68.9   107.5   117.1   191.9   246.2   276.4   295.0   315.6   341.2   379.0   460.4   678.9 11272.0  95193.6    95000  1744823350940  1744823355955
read      210.0    98.6    68.9   105.2   114.7   186.1   238.8   269.7   289.1   309.8   335.2   372.1   451.7   629.8  1871.1  99909.5   100000  1744823357468  1744823362482
read      210.4    96.7    68.9   105.5   115.2   186.2   237.8   269.1   288.9   310.2   336.2   373.9   459.4   658.4  1664.0 104903.7   105000  1744823363998  1744823369012
read      212.4    99.3    63.8   106.6   116.5   187.4   239.5   271.4   291.5   313.1   339.4   378.3   463.9   687.5  2165.2 110119.0   110000  1744823370524  1744823375538
read      210.6   106.4    68.9   107.2   116.8   184.6   232.9   264.2   285.1   307.8   335.8   376.4   477.9   861.2  2840.6 114978.0   115000  1744823377050  1744823382065
read      209.8    93.5    68.9   107.4   117.4   185.5   232.2   262.5   283.2   305.7   333.2   374.3   470.6   792.7  1425.1 119584.0   120000  1744823383574  1744823388588
read      213.9   151.2    68.9   109.7   119.9   188.5   233.9   263.8   285.0   308.8   337.7   380.0   474.4   838.3  6356.3 124875.4   125000  1744823390099  1744823395114
read      212.6   144.2    68.9   109.7   119.6   186.7   232.0   261.5   282.7   306.9   336.6   380.2   476.8   806.0  6420.0 130062.4   130000  1744823396626  1744823401640
read      213.2    96.4    68.9   111.2   121.5   187.9   232.5   262.3   284.1   308.9   339.4   384.7   490.5   769.3  1767.4 134665.8   135000  1744823403152  1744823408166
read      215.0   100.7    74.4   113.0   124.1   192.5   234.9   262.9   283.0   306.3   335.6   378.6   479.4   752.4  2441.4 139783.7   140000  1744823409677  1744823414691
read      211.4   105.9    68.9   113.7   124.7   189.3   229.0   255.0   274.8   298.2   327.8   371.3   467.5   724.3  2505.3 145091.6   145000  1744823416206  1744823421220
read      209.6    87.9    68.9   113.2   124.2   189.3   228.1   252.8   272.0   294.5   322.5   366.2   456.7   700.5  2218.1 149912.5   150000  1744823422731  1744823427751
