#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      245.1   154.2    80.4   123.7   141.4   227.1   252.4   266.0   274.7   287.9   304.7   341.3  1068.2  1350.0  3848.0   4965.0     5000 4993728188548728656  1744820223411
read      243.7   101.0    54.7   111.4   147.3   241.3   267.8   281.8   291.9   304.1   318.8   346.1   486.0  1089.6  2203.0   9925.8    10000 4993728188548728656  1744820229926
read      250.5    83.0    68.9   133.6   153.9   250.8   279.3   294.5   305.9   318.1   337.3   367.5   436.8  1030.2  1403.8  15049.6    15000 4993728188548728656  1744820236441
read      264.9   333.5    63.8   128.8   149.3   257.6   288.8   304.9   315.9   330.1   347.8   377.6   438.5  6989.0 12181.0  19968.6    20000 4993728188548728656  1744820242960
read      260.0   428.3    63.8   129.9   147.2   256.6   291.8   309.6   321.1   337.1   356.7   386.9   445.9   584.4 32623.7  25006.2    25000 4993728188548728656  1744820249475
read      257.3   219.4    59.1   122.3   139.8   253.2   293.5   313.5   327.6   343.8   366.3   398.1   466.6   706.3 11381.5  29995.0    30000 4993728188548728656  1744820255991
read      252.8    96.8    63.8   121.1   137.4   251.2   293.9   314.4   329.0   345.5   368.9   401.5   470.8   689.3  2154.1  34888.8    35000 4993728188548728656  1744820262509
read      251.6   100.6    63.8   116.1   131.4   246.9   295.7   318.2   334.9   354.1   378.2   411.0   476.6   642.3  2340.7  39965.3    40000 4993728188548728656  1744820269024
read      259.9   455.6    68.9   115.9   130.3   244.7   297.1   320.7   337.9   357.8   382.4   417.5   491.6   865.3 12855.4  45033.0    45000 4993728188548728656  1744820275540
read      244.5   101.4    54.7   111.2   124.5   234.9   289.2   314.4   332.3   353.2   379.6   417.0   487.3   596.0  1545.0  50012.4    50000 4993728188548728656  1744820282056
read      244.3   108.0    54.7   111.4   124.2   229.8   288.7   316.3   335.3   357.4   384.7   422.1   492.8   693.0  2705.5  55194.6    55000 4993728188548728656  1744820288570
read      243.2   111.2    68.9   108.9   120.9   226.0   287.0   316.6   337.1   361.2   390.2   428.9   503.7   654.4  2781.8  59969.0    60000 4993728188548728656  1744820295085
read      238.0   102.4    68.9   107.9   119.2   220.5   281.5   310.6   330.2   352.7   382.9   424.4   500.3   620.6   807.7  64967.0    65000 4993728188548728656  1744820301599
read      237.8   106.0    68.9   108.2   119.4   215.7   278.2   311.3   333.4   359.1   389.9   430.0   502.6   647.2  1387.0  69986.8    70000 4993728188548728656  1744820308115
read      233.5   118.7    63.8   106.8   117.7   209.8   272.7   304.5   325.3   349.0   381.0   424.3   503.8   650.8  3851.5  75138.0    75000 4993728188548728656  1744820314630
read      237.0   111.1    68.9   107.8   119.1   212.7   277.0   309.9   332.1   357.8   389.3   431.3   509.2   651.9  2301.8  79969.5    80000 4993728188548728656  1744820321147
read      231.1   110.4    63.8   107.1   118.2   206.0   266.9   299.5   321.1   345.8   378.4   423.5   505.5   653.4  2135.6  85085.0    85000 4993728188548728656  1744820327661
read      233.6   107.0    63.8   109.5   120.3   207.1   268.7   302.8   325.6   351.5   385.8   431.0   514.8   673.8  1263.7  89749.0    90000 4993728188548728656  1744820334178
read      233.9   106.0    63.8   110.0   121.3   207.2   268.0   302.3   324.9   351.1   385.4   431.0   517.8   684.9  1115.9  95179.6    95000 4993728188548728656  1744820340694
read      227.9   104.4    68.9   110.0   120.9   201.8   258.2   291.5   314.4   339.8   372.1   418.0   498.0   640.1  2060.7 100238.0   100000 4993728188548728656  1744820347209
read      233.5   104.0    63.8   111.5   123.8   208.5   264.2   297.1   320.3   346.7   381.0   427.1   508.1   640.3  1836.9 105013.9   105000 4993728188548728656  1744820353726
read      232.8   159.9    68.9   112.0   124.1   206.1   260.1   292.9   315.8   341.9   375.7   424.4   518.7   685.7 10782.8 110249.6   110000 4993728188548728656  1744820360243
read      238.3   112.5    68.9   115.6   129.3   214.5   267.5   299.2   321.4   346.9   380.6   426.6   513.9   726.2  3078.2 114870.0   115000 4993728188548728656  1744820366761
read      239.9   122.9    68.9   118.0   132.0   217.0   268.9   299.8   321.4   346.4   378.9   424.5   508.6   684.4  2897.2 119790.4   120000 4993728188548728656  1744820373277
read      252.4   110.2    68.9   125.6   140.9   231.1   283.8   314.5   336.4   362.3   394.2   438.8   533.7   695.6  1473.0 124789.0   125000 4993728188548728656  1744820379792
read      256.1   174.8    68.9   126.2   142.1   234.8   286.4   315.8   337.4   363.2   395.4   442.6   541.6   711.9  4325.2 129951.4   130000 4993728188548728656  1744820386307
read      350.7   163.2    68.9   162.6   188.8   326.7   395.9   437.4   468.3   503.7   545.7   606.6   720.6   889.8  3999.6 134955.0   135000 4993728188548728656  1744820392825
read      403.1   147.6    80.4   204.3   234.1   380.8   465.8   507.4   534.8   564.9   600.2   653.5   752.1   923.1  2588.6 139338.0   140000 4993728188548728656  1744820399340
read      418.4   210.8    68.9   214.9   243.3   396.2   481.0   521.0   547.0   577.5   614.1   668.1   780.2  1138.7 11285.0 141915.6   145000 4993728188548728656  1744820405855
read      482.5   179.9    74.4   277.0   304.2   418.1   558.4   631.5   666.9   701.0   736.3   786.0   870.7  1045.1  3615.4 133107.0   150000 4993728188548728656  1744820412373
read      461.4   165.6    74.4   259.5   285.1   407.3   547.1   599.8   628.5   658.7   690.3   737.6   829.1  1004.9  2587.4 139049.6   155000 4993728188548728656  1744820418888
read      445.8   180.8    80.4   241.0   268.0   412.0   526.0   569.8   596.3   624.9   658.4   704.7   802.6  1003.1  4008.3 143357.9   160000 4993728188548728656  1744820425402
read      441.2   163.0    93.8   239.7   265.3   406.9   526.2   567.4   592.0   619.0   648.6   691.2   794.0  1074.4  2651.8 145103.2   165000 4993728188548728656  1744820431916
read      480.2   274.6    74.4   269.7   298.9   416.5   552.4   620.3   656.0   689.4   727.4   779.3   874.5  1203.0 11808.8 134352.8   170000 4993728188548728656  1744820438431
read      410.0   143.7    80.4   213.0   240.7   398.5   475.4   510.9   535.2   562.1   593.7   641.3   743.9   928.9  3003.1 154618.4   175000 4993728188548728656  1744820444946
read      453.3   159.2    93.8   255.1   280.8   403.6   530.4   584.4   614.7   644.7   679.7   728.4   814.8   975.0  2534.7 142259.2   180000 4993728188548728656  1744820451461
read      439.8   241.2    63.8   237.3   264.3   405.5   515.9   558.8   584.8   613.5   644.8   692.3   792.3   993.2  8209.0 146567.9   185000 4993728188548728656  1744820457975
read      457.8   164.8    93.8   257.1   282.0   404.9   544.8   595.3   622.5   651.1   683.3   730.6   819.1  1011.3  3105.7 140908.2   190000 4993728188548728656  1744820464491
read      470.4   168.2    93.8   266.2   292.7   410.3   556.5   613.9   644.9   676.0   711.6   757.1   857.1  1039.7  2272.4 137267.4   195000 4993728188548728656  1744820471006
read      453.7   165.1    93.8   254.6   279.1   402.3   540.6   589.6   616.9   644.2   677.3   724.1   809.8   998.7  2685.3 142176.8   200000 4993728188548728656  1744820477523
read      473.3   169.9    80.4   265.7   294.1   419.8   548.8   609.6   643.4   677.7   716.6   768.2   866.7  1073.0  2585.0 136314.9   205000 4993728188548728656  1744820484039
read      456.1   169.5    86.8   252.8   278.5   407.8   544.5   591.7   618.5   645.7   679.1   727.3   824.5  1025.7  3189.6 141461.9   210000 4993728188548728656  1744820490552
read      446.8   166.6    93.8   243.0   270.8   410.4   521.4   568.3   596.4   626.7   662.5   712.8   808.4  1088.9  3766.6 144290.2   215000 4993728188548728656  1744820497066
read      466.5   175.4    93.8   268.9   293.6   400.6   555.6   614.2   644.3   673.8   707.3   748.6   845.8  1014.9  2079.8 138415.2   220000 4993728188548728656  1744820503583
CPU Usage Stats (avg/min/max): 40.96%,20.60%,51.27%
