Random waveform, supplied seed
Total number of intervals = 143 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567)
Average QPS expected = 94260
Timestamp start: 1746897755445
Timestamp end: 1746898755752

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      233.0    92.6    93.8   145.3   161.8   227.2   248.5   261.0   270.4   282.3   297.1   323.9   397.2  1096.4  3257.5   8151.3     8195
read      326.8   213.2    80.4   159.4   179.6   292.4   350.7   387.3   415.0   449.8   496.3   574.1   783.5  2924.2  7645.7 158200.9   158594
read      303.9   194.9    80.4   152.2   170.7   275.4   327.6   358.4   381.4   409.2   447.8   509.7   714.9  2898.4  6623.3 149582.1   149766
read      286.7   397.3    93.8   142.0   158.6   242.5   268.8   283.8   294.5   309.4   329.6   373.1  1609.5  6037.2  8135.4  10359.1    10382
read      462.0   502.3    86.8   206.8   238.0   352.6   406.9   445.4   477.2   523.8   600.8  1127.7  3254.2  5828.3  8126.1 170332.9   170548
read      362.8   198.1    86.8   194.0   218.4   326.0   384.9   423.3   453.7   491.9   544.2   633.0   839.2  2214.4  6399.2 150534.3   150565
read      307.6   182.5    80.4   151.4   170.4   279.7   332.7   364.1   388.1   417.9   459.2   530.8   748.8  2274.9  5983.5 137050.3   137144
read      326.0   252.0    86.8   153.1   172.5   283.0   337.5   370.6   396.4   429.0   475.1   565.5  1400.6  3322.6  7091.1 143593.9   143496
read      280.9   163.8    80.4   144.7   161.5   257.3   305.9   334.1   355.1   380.5   414.7   469.8   629.7  2224.8  6076.6 144434.4   144743
read      250.0   167.7    80.4   129.3   141.6   222.6   272.1   300.8   320.8   344.6   373.9   420.6   558.7  2688.0  5687.6 116645.1   116745
read      255.9   137.1    80.4   134.1   147.9   231.3   278.8   307.0   327.3   351.6   383.6   433.2   587.2  1590.0  4086.8 128959.4   129314
read      276.0   148.9    80.4   143.1   159.7   254.1   302.3   330.5   351.3   376.5   410.0   464.5   607.3  1593.9  4112.6 144783.3   144723
read      247.4   138.9    74.4   129.5   142.0   222.1   271.0   299.8   320.2   344.2   373.8   420.7   550.0  1596.4  3582.2 117395.3   117379
