Random waveform, supplied seed
Total number of intervals = 143 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567)
Average QPS expected = 94260
Timestamp start: 1746894579581
Timestamp end: 1746895579899

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      243.2   370.1    93.8   144.8   161.6   227.9   251.1   265.0   274.4   288.5   306.4   336.0   415.5  1877.9 20061.2   8167.6     8195
read      311.3   215.1    80.4   154.8   174.3   278.3   331.2   363.9   388.9   419.7   461.1   529.9   760.4  3171.0  7152.5 158032.7   158594
read      284.1   173.5    80.4   145.6   162.8   256.7   304.1   332.6   354.2   381.0   417.6   479.2   712.8  2389.0  5128.5 150089.1   149766
read      298.3   415.2    86.8   143.4   161.4   249.8   281.1   298.9   313.7   332.9   363.3   431.9  1448.2  7070.6 10701.2  10382.6    10382
read      456.1   423.8    74.4   205.0   232.0   346.3   408.8   452.8   489.5   542.3   654.9  1397.1  1872.3  4985.1  8109.4 170279.6   170548
read      331.3   172.4    86.8   176.1   199.6   308.7   360.2   390.7   413.2   440.1   475.6   536.3   689.2  2053.2  7393.4 150566.3   150565
read      284.4   147.6    80.4   148.6   166.4   261.7   306.7   334.1   355.4   382.1   418.9   480.4   650.0  1696.8  4627.3 137091.6   137144
read      275.4   219.6    80.4   140.9   156.7   244.4   289.3   316.0   336.6   362.0   396.0   454.3   699.3  3359.2  7475.4 143455.1   143496
read      292.5   249.0    74.4   142.8   159.7   253.7   302.1   331.6   354.2   382.8   422.7   495.7  1227.0  3386.5  8023.3 144604.0   144743
read      239.4   131.7    80.4   127.9   140.0   215.3   261.0   289.0   309.5   333.3   363.4   407.3   529.9  1355.2  3477.3 116519.3   116745
read      242.8   119.3    80.4   131.2   144.4   220.8   264.3   290.5   310.3   333.8   364.1   409.7   527.5  1278.0  3134.8 129297.6   129314
read      261.3   134.7    80.4   139.4   154.7   239.9   283.8   309.8   329.4   353.2   385.6   436.0   575.8  1604.0  3728.3 144736.7   144723
read      241.2   129.0    80.4   128.9   141.2   217.0   262.6   290.4   310.8   334.8   365.2   410.1   531.3  1491.2  3447.1 117261.1   117379
read      243.7   134.3    80.4   129.6   142.2   218.8   264.2   291.8   312.2   336.3   367.0   414.0   540.5  1827.0  3601.8 120065.4   119931
read      247.9   123.0    80.4   133.6   147.5   226.5   269.7   295.7   315.6   339.4   370.0   418.2   538.8  1244.6  3446.4 132078.4   132052
read      261.8   152.4    86.8   139.5   154.6   238.2   282.2   308.5   328.0   351.9   384.1   434.8   583.6  2054.0  5995.5 143240.7   143350
read      260.8   149.6    80.4   139.1   154.0   237.4   281.2   307.6   327.0   350.9   383.2   433.5   575.3  2123.0  5078.7 143200.7   143518
read      327.4   175.2    80.4   164.2   184.7   297.7   359.2   396.7   425.1   458.9   502.2   571.5   720.4  1659.2  6110.9 172936.6   172981
read      238.0   124.9    80.4   125.4   137.3   215.0   263.5   292.0   312.0   334.8   362.9   403.4   509.4  1170.4  4410.1  94158.7    94027
read      321.3   153.4    86.8   163.6   184.4   298.3   355.0   388.3   412.5   441.8   480.1   540.7   678.2  1578.2  4548.6 170083.9   170019
read      336.6   169.6    80.4   176.3   199.8   312.3   365.2   397.3   422.2   452.6   492.8   555.2   712.2  2141.0  6074.8 179159.7   179090
read      265.7   190.2    86.8   127.6   139.4   242.6   292.4   318.9   339.0   363.4   395.5   448.9   659.5  2905.0  6981.5  47072.4    47130
read      261.8   122.0    86.8   136.8   152.7   256.4   290.8   309.6   322.3   338.6   359.8   393.6   479.2  1470.8  5008.6  19407.1    19439
read      327.9   307.3    80.4   141.5   158.1   261.9   315.5   346.5   371.8   404.3   460.0   640.6  1634.7  3119.0  7646.2 128795.0   128963
read      260.6   102.5    93.8   133.7   148.2   255.9   291.8   311.6   325.7   342.5   365.3   400.0   487.9  1256.3  2297.3  23820.0    23787
