Random waveform, supplied seed
Total number of intervals = 143 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567)
Average QPS expected = 94260
Timestamp start: 1746896064800
Timestamp end: 1746897065133

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      243.7   125.9    86.8   124.4   135.1   232.6   281.3   303.4   317.7   334.9   356.4   391.4   487.4  1557.7  3550.4  53675.7    53832
read      274.7   192.3    80.4   138.8   154.0   244.7   293.3   321.5   343.3   369.9   404.4   465.2   687.0  2731.2  6811.8 140156.7   139832
read      331.0   179.3    80.4   163.3   184.6   302.6   364.6   401.3   429.4   462.5   504.9   572.4   729.4  1780.2  6646.0 170581.6   170515
read      258.1   154.9    80.4   133.1   147.3   232.5   280.7   308.8   329.2   353.6   385.6   435.5   598.2  1837.4  5603.1 128562.7   128494
read      266.7   154.5    86.8   134.2   149.6   254.8   289.1   308.0   321.0   338.7   361.8   400.0   689.7  2210.9  4101.3  20908.4    20789
read      250.5   157.0    80.4   123.3   134.3   230.2   284.6   310.3   327.6   347.0   372.9   417.6   555.0  2254.6  4713.1  63588.4    63647
read      239.3   101.5    86.8   124.2   135.0   224.9   279.1   304.1   320.1   338.3   360.3   393.0   467.0   818.6  1896.3  64831.7    64802
read      244.3   120.2    86.8   126.3   137.5   233.6   283.5   306.5   321.0   338.7   360.3   393.2   473.0  1043.1  3962.9  55662.0    55719
read      346.7   179.5    86.8   170.3   191.7   306.3   374.9   422.2   457.8   499.8   551.8   632.2   808.6  1921.2  4676.3 174404.3   174179
read      263.6   220.1    80.4   129.9   142.9   229.2   278.6   307.2   327.6   351.9   384.3   437.8   818.1  3213.5  7601.0 106197.9   106356
read      335.5   163.1    80.4   163.8   184.5   303.3   372.9   415.0   445.4   480.5   525.1   590.4   739.1  1602.4  4542.5 178707.1   178750
read      249.2   133.8    80.4   130.0   143.0   228.4   276.2   303.9   322.9   345.5   373.5   417.2   521.0  1403.1  4191.0 106003.0   105831
read      243.9   145.2    80.4   127.6   139.4   217.4   267.4   296.7   317.5   341.5   370.9   415.6   533.8  1855.8  3482.5 110834.6   110667
read      248.5   145.6    86.8   142.8   159.9   237.4   264.3   279.1   290.7   304.7   322.8   358.9   488.5  1840.8  7205.5   8835.9     8803
read      291.1   214.8    86.8   126.3   139.3   270.1   326.1   355.4   375.2   399.0   430.2   485.8   846.3  2959.5  7288.4  45707.6    45662
read      288.7   184.7    86.8   131.2   144.9   272.7   319.9   344.2   362.6   384.2   413.3   468.2   818.1  2322.7  4517.5  30904.4    30867
read      282.6   172.5    80.4   126.1   138.3   268.9   323.9   352.8   372.4   395.0   423.3   466.4   636.4  2341.2  5657.9  45600.0    45656
read      279.7   250.8    86.8   128.0   139.9   227.6   283.3   314.2   336.5   363.2   398.8   482.4  1489.9  2751.7  7060.5 100861.4   100938
read      266.8   166.4    80.4   137.5   151.6   239.3   287.8   316.0   337.1   362.6   395.7   450.5   639.1  2459.3  4269.1 132361.7   132360
read      241.3   124.4    80.4   124.4   135.1   224.0   279.6   305.7   322.4   341.6   365.0   399.1   480.7   937.1  4288.9  67616.4    67591
read      296.1   375.3    80.4   129.5   142.1   266.0   312.2   337.0   354.9   375.6   404.5   467.7  1234.3  3290.6 24035.8  33875.9    33910
read      251.3   121.9    86.8   125.7   137.0   224.6   283.5   314.4   336.0   360.9   392.9   447.3   602.3  1149.8  2393.8  85850.1    85729
read      249.1   102.0    93.8   140.9   158.1   243.9   271.5   287.3   298.1   312.7   331.3   362.4   442.9  1197.4  4059.9  12968.4    12884
read      275.6   139.7    86.8   126.1   138.3   264.9   318.6   346.4   365.8   387.7   414.7   457.4   588.5  1485.9  3570.3  45730.1    45621
read      272.2   188.1    86.8   128.0   139.9   264.6   311.8   336.1   352.8   371.8   396.3   432.6   542.7  1445.0 10279.3  36913.4    36938
read      281.7   161.6    80.4   125.6   137.7   265.1   324.8   357.4   379.3   403.0   433.2   479.0   619.1  1948.0  5141.8  56921.3    56902
read      262.4   224.1    80.4   127.9   139.7   222.6   277.1   308.2   330.0   355.5   389.2   450.4  1116.3  2197.8  5517.7 102344.3   102243
read      250.8    97.1    86.8   140.2   157.2   246.2   274.0   290.3   301.9   316.1   335.8   366.8   451.3   994.4  3895.9  14161.7    14085
read      266.9   188.7    86.8   127.9   139.7   228.6   287.3   319.6   343.4   372.4   414.8   501.7   847.0  1889.1  5447.4  93840.7    94103
read      244.6   111.2    86.8   125.6   136.6   232.5   284.9   308.9   324.6   342.4   365.1   398.3   476.4   876.5  3069.3  58289.1    58175
read      305.3   177.1    80.4   149.1   166.9   278.3   337.3   372.1   398.1   429.6   469.9   536.5   691.3  1594.5  3949.6 151525.4   151312
read      241.8   142.3    80.4   125.1   136.1   218.9   274.8   304.2   323.7   345.2   371.9   412.6   507.9   886.2  3840.8  83121.0    83333
read      334.9   183.8    80.4   161.6   181.9   301.2   368.6   409.8   440.8   477.2   524.6   594.4   761.0  1905.3  6027.3 164924.9   165153
