Random waveform, supplied seed
Total number of intervals = 200 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136, 130756, 69916, 72019, 78070, 99548, 36393, 172591, 8325)
Average QPS expected = 87951
Timestamp start: 1746888001760
Timestamp end: 1746889202088

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      270.6   132.4    86.8   127.9   139.8   260.7   313.5   340.5   359.3   380.1   405.2   446.3   545.5  1402.1  3309.7  41333.3    41405
read      282.2   147.5    86.8   126.0   138.3   264.0   329.2   363.9   387.4   413.4   445.2   493.8   611.0  1401.8  3164.8  58021.3    57997
read      323.6   277.6    80.4   142.1   158.9   263.6   315.0   345.7   371.1   404.3   462.6   652.7  1570.7  2866.3  6652.5 133644.5   133577
read      249.8   116.2    80.4   124.9   136.0   237.4   293.0   318.6   335.6   354.5   376.8   411.1   480.8   626.2  3760.3  53856.7    53832
read      340.3   295.2    80.4   146.7   165.1   270.1   325.4   364.0   396.4   443.7   529.6   772.0  1531.7  3163.7  7526.2 139562.5   139832
read      297.4   173.9    80.4   152.6   171.1   268.9   317.0   346.3   369.9   399.5   441.9   519.0   738.8  2034.5  6685.1 170557.0   170515
read      256.3   175.7    80.4   129.9   143.0   223.5   271.1   300.1   321.3   347.9   383.7   444.6   779.8  2225.5  5118.4 128497.0   128494
read      278.9   435.4    93.8   134.4   148.6   241.7   276.9   296.0   310.4   326.9   349.7   395.5  1225.6  5045.4 21574.1  20750.5    20789
read      274.7   241.1    80.4   124.3   135.8   238.5   297.2   326.9   347.9   373.4   407.6   467.4  1038.5  3411.1  7590.7  63683.5    63647
read      238.2   105.3    86.8   122.6   133.1   221.3   276.5   302.0   318.5   337.5   361.4   397.7   485.9   792.2  2522.7  64687.5    64802
read      236.6    97.7    80.4   123.6   133.9   225.7   276.2   299.3   314.3   331.2   351.1   383.0   455.3   668.5  2454.3  55643.2    55719
read      292.9   147.9    86.8   154.6   173.2   267.2   313.1   341.6   364.5   393.4   433.9   504.8   687.3  1806.3  4128.4 173951.3   174179
read      237.7   134.1    80.4   124.5   135.9   210.8   261.7   292.3   313.8   337.9   367.4   410.6   531.6  1420.9  3695.8 106250.5   106356
read      304.7   149.3    80.4   161.0   180.7   281.8   328.3   356.4   377.8   404.8   445.1   514.1   697.6  1678.2  4178.9 178593.5   178750
read      246.9   139.6    80.4   127.8   139.5   218.8   271.2   301.7   322.9   347.1   378.0   426.3   578.2  1799.4  4137.1 105975.8   105831
read      240.4   143.8    80.4   126.8   138.4   212.8   263.1   293.7   315.6   340.2   370.0   414.0   534.9  1389.6  5811.4 110793.3   110667
read      256.7   178.8    86.8   145.1   163.2   239.9   269.3   286.6   299.0   315.4   337.7   373.5   598.8  2291.8  7609.4   8787.0     8803
read      279.9   182.8    86.8   127.3   139.0   261.3   320.2   349.6   369.4   391.6   419.2   462.1   670.5  2462.0  5278.5  45596.3    45662
read      267.6   128.3    86.8   129.5   142.0   260.7   307.4   330.0   345.3   363.2   385.3   420.9   536.9  1565.2  2704.3  30882.2    30867
read      278.1   161.7    86.8   125.5   137.5   261.6   320.1   349.8   369.9   392.3   419.8   463.2   674.3  2100.2  3887.7  45605.8    45656
read      257.9   180.7    80.4   125.7   137.6   220.3   277.4   310.3   333.5   360.9   396.7   464.1   784.6  2287.8  4787.1 100999.2   100938
read      252.6   130.8    80.4   132.8   146.4   226.9   274.0   302.5   323.3   348.8   382.4   435.1   595.9  1499.4  3471.2 132073.5   132360
read      242.5   172.2    86.8   123.0   133.5   222.2   281.0   308.0   325.5   344.4   368.2   402.6   491.4  1106.5  7102.7  67588.8    67591
read      267.2   156.5    80.4   128.7   140.8   257.5   305.0   328.8   345.0   364.7   389.0   426.5   550.5  1703.7  3748.9  33963.5    33910
read      260.5   216.0    80.4   124.5   136.0   225.0   286.5   318.7   341.5   367.9   401.5   461.2   686.7  2802.8  7507.9  85591.8    85729
read      249.4   112.9    93.8   141.5   158.7   240.0   270.6   287.4   299.0   314.4   334.7   367.0   467.6  1250.1  4486.8  12879.7    12884
read      276.1   148.5    86.8   126.5   138.2   261.3   320.4   349.8   369.3   391.3   418.0   459.4   613.5  1783.2  3900.2  45456.0    45621
read      275.5   165.0    86.8   128.2   140.4   262.9   315.1   340.4   357.8   376.7   401.2   438.5   622.4  2067.7  5219.2  36868.2    36938
read      285.2   195.8    80.4   125.2   137.0   260.1   324.7   358.8   381.5   405.9   436.9   488.2   767.7  2639.2  7000.5  56923.2    56902
read      275.5   227.3    80.4   127.6   139.6   227.6   286.8   320.7   345.6   375.9   420.7   523.3  1079.5  2789.0  6442.3 102078.0   102243
read      253.9   129.2    86.8   141.9   159.5   245.1   276.8   294.2   307.2   321.2   342.3   374.8   463.2  1254.7  3985.1  14055.5    14085
read      256.1   149.7    86.8   125.6   137.3   222.8   282.8   315.7   339.1   366.4   401.1   463.2   650.5  1745.7  3681.4  93989.2    94103
read      246.7   124.7    86.8   125.2   136.1   231.6   285.9   310.5   326.7   344.5   368.2   403.5   505.8  1154.6  3841.4  58114.8    58175
read      273.2   135.1    80.4   142.4   158.4   248.2   295.0   323.2   345.0   372.6   410.8   474.5   651.3  1492.4  3195.4 151258.2   151312
read      241.6   110.1    80.4   124.4   135.4   217.3   276.0   306.2   326.1   347.6   374.1   415.1   513.6   964.1  2548.1  83446.2    83333
read      289.8   141.7    80.4   154.5   173.0   266.2   311.8   339.9   362.3   390.3   429.1   496.3   662.7  1343.5  3711.0 165370.8   165153
read      247.8   134.5    80.4   130.3   143.2   222.4   270.9   299.9   320.8   345.7   377.2   426.1   555.6  1392.5  4118.6 124218.8   123975
read      259.5   120.7    80.4   131.9   145.1   253.7   296.6   317.7   332.9   349.4   370.7   402.5   474.2   918.1  3231.9  28361.3    28449
read      252.7    95.9    93.8   140.0   157.0   246.2   279.3   296.5   309.6   323.8   343.9   376.2   461.7   994.9  2674.6  14900.7    14903
read      267.2   121.4    86.8   129.8   142.4   260.9   307.7   330.5   345.7   364.3   387.1   422.5   529.2  1269.0  3716.7  30954.8    31189
read      269.9   132.0    80.4   127.0   138.6   260.1   315.4   341.9   360.3   380.4   403.6   440.6   540.8  1319.4  3955.3  40666.3    40636
read      258.3   190.0    80.4   124.4   135.4   224.8   287.8   319.2   340.8   365.8   397.5   452.6   635.5  2609.0  6142.7  80473.5    80574
read      296.1   144.8    80.4   155.2   174.4   273.2   320.6   349.7   372.1   400.3   438.5   503.3   660.6  1426.3  3929.9 168715.8   168820
read      291.0   154.3    80.4   151.7   170.0   266.8   313.9   342.4   365.1   393.1   431.3   496.7   670.4  1662.7  5325.9 162409.3   162621
read      244.5   129.2    74.4   126.2   137.9   217.8   271.9   302.6   323.9   347.8   378.4   425.4   555.8  1228.8  3206.4 101921.7   101621
read      241.7   114.6    80.4   124.8   135.5   228.7   282.7   307.0   322.4   339.9   361.6   393.8   464.5   682.7  4192.6  58379.7    58592
read      275.9   133.5    80.4   144.1   160.7   251.9   299.0   327.6   349.0   376.5   414.3   475.7   640.7  1497.1  2995.4 152828.7   153042
read      240.6   124.7    80.4   127.3   138.8   214.5   265.0   295.1   316.5   341.0   370.8   415.1   527.5  1235.6  4107.9 112401.3   112238
read      287.0   137.2    80.4   150.2   167.7   263.1   310.7   339.6   362.3   390.4   428.8   495.2   669.2  1350.5  3396.1 160165.2   160265
read      243.9   120.1    86.8   124.2   134.9   229.8   282.8   306.9   322.4   340.7   363.8   398.5   493.1  1237.7  4059.7  57193.7    57109
read      241.9   158.4    80.4   123.3   134.2   214.4   272.5   303.9   324.4   347.0   374.3   416.3   526.0  1264.1  5768.1  88603.8    88551
read      245.4   123.3    80.4   145.1   161.8   234.4   262.4   278.0   290.5   305.6   325.9   361.9   458.7  1228.1  6952.1   8416.8     8385
read      272.2   158.9    80.4   128.7   141.1   264.1   313.5   337.6   353.8   371.5   395.0   430.1   536.5  1849.3  7241.8  34066.2    34088
read      301.6   286.9    80.4   130.4   143.7   234.6   288.4   319.5   344.2   375.6   427.5   703.3  1543.8  3017.1  7194.3 113589.5   113600
read      249.6   120.5    86.8   132.7   146.0   225.7   272.3   300.1   320.5   345.3   376.9   426.5   560.5  1367.7  3326.8 131625.5   131842
read      240.3   128.9    74.4   127.0   138.6   214.5   264.9   295.1   316.6   341.1   371.0   415.3   524.1  1090.8  4223.5 112016.8   112066
read      238.8   106.0    80.4   123.7   134.0   218.2   277.1   305.3   323.2   343.0   367.0   401.0   479.1   794.6  2635.3  72694.3    72585
read      254.1   153.8    80.4   135.5   149.3   230.1   276.4   304.3   324.6   348.9   381.2   430.7   563.4  1395.0  5305.8 133978.3   133669
read      243.3    88.6    86.8   143.2   160.3   235.8   264.5   280.4   292.4   307.2   326.1   358.2   431.8   987.3  2966.3  11865.5    11820
read      251.8   267.5    86.8   142.7   160.3   238.6   269.7   286.8   298.6   313.8   333.5   365.3   438.7  1380.6 14715.5  12610.0    12639
read      324.7   347.0    80.4   132.7   147.0   246.5   298.3   328.3   351.6   383.1   434.5   979.6  1633.0  3689.9  8081.6 118523.0   118548
read      288.1   133.2    80.4   154.3   172.9   266.8   311.8   339.0   360.3   386.7   423.0   484.5   635.5  1401.0  3392.7 165968.0   165754
read      237.4   108.2    80.4   123.6   134.3   213.2   270.6   301.5   321.5   343.8   370.1   407.2   493.6   795.1  2925.6  86913.2    86823
read      249.8   106.5    86.8   139.1   155.0   241.7   274.5   292.6   305.6   319.7   340.2   371.3   450.3  1262.4  3759.2  16925.5    16898
read      330.4   337.3    80.4   135.7   150.7   252.1   300.9   330.2   353.8   386.6   443.1  1034.4  1690.5  3344.6  7323.6 123330.7   123124
read      238.0   118.1    80.4   124.0   134.1   216.9   275.8   303.9   321.5   341.2   364.6   397.4   470.4   904.7  3811.5  72185.7    72278
read      264.2   117.8    86.8   126.5   137.8   252.2   306.7   334.1   353.4   374.9   402.1   443.7   545.4  1201.8  2020.4  47719.5    47757
read      283.6   198.0    86.8   126.1   137.8   258.2   322.2   356.7   380.0   405.7   436.7   486.0   679.1  2633.6  5798.9  60426.7    60510
read      261.9   129.1    93.8   133.0   146.7   256.0   296.3   317.0   331.9   348.0   370.3   403.4   496.3  1207.1  6350.3  25262.2    25237
read      258.4   159.5    86.8   127.1   138.6   223.0   281.9   315.1   338.6   366.0   401.2   468.5   731.2  1913.1  4147.6  97776.7    97783
read      242.1   115.1    80.4   129.1   141.2   217.5   266.5   295.6   316.7   341.2   371.5   416.9   526.6  1149.6  2749.5 119117.7   118966
read      251.3   106.2    86.8   139.2   155.3   243.1   276.3   294.5   307.8   322.1   342.9   374.8   466.3  1209.4  3691.8  16600.5    16631
read      243.8    97.5    86.8   142.6   159.5   235.2   264.7   280.9   293.0   308.0   326.9   359.7   440.6  1063.0  3147.0  11779.3    11743
read      297.4   285.6    80.4   131.0   144.3   234.6   287.5   317.6   340.9   370.2   414.8   583.8  1554.6  3190.7  7401.6 114532.2   115026
read      246.6   127.1    80.4   130.3   142.8   221.1   269.8   298.4   319.3   344.1   374.6   423.1   554.2  1413.4  3421.5 122240.5   122371
read      234.4   108.5    93.8   144.1   159.2   225.1   249.8   264.8   274.9   289.5   308.6   340.5   424.9  1067.4  5009.2   7192.3     7198
read      260.3   106.1    86.8   132.0   145.5   255.1   296.5   316.7   331.2   346.8   368.4   400.1   481.9  1287.3  2359.6  25019.2    25022
read      361.7   347.4    86.8   165.9   190.1   303.0   351.4   382.7   407.2   441.6   495.9   640.7  1602.2  3379.1 14024.2 157435.8   157513
read      329.6   157.6    80.4   174.3   196.6   305.4   354.5   384.6   407.3   436.9   479.5   550.8   750.0  1915.2  4050.3 171886.7   171975
read      288.5   151.8    80.4   150.5   168.0   263.5   311.2   340.0   362.7   390.8   429.2   495.0   674.4  1559.7  4728.5 154602.2   154918
read      268.3   150.3    80.4   138.5   153.3   242.0   291.0   320.0   342.4   369.8   405.4   466.1   627.0  1576.1  5216.4 139358.7   139185
read      277.2   132.7    80.4   146.4   163.1   253.6   299.5   327.3   348.3   375.2   412.5   474.0   640.4  1382.1  3383.4 152806.2   152724
read      255.3   185.8    86.8   134.3   148.4   242.1   279.2   298.5   312.7   328.8   348.7   383.6   489.0  2341.2  7670.1  20747.3    20845
read      349.5   331.0    80.4   147.1   166.3   279.8   329.0   360.2   385.5   420.5   479.2   779.2  1693.2  3433.7  7573.1 140045.3   140348
read      242.0   119.8    80.4   124.3   135.3   215.7   274.2   305.4   325.8   348.2   375.2   417.6   526.4  1339.4  2741.1  88677.3    88725
read      252.9   147.5    80.4   133.4   147.2   228.0   274.0   301.8   321.7   346.1   378.0   429.0   579.9  1725.9  4557.9 134060.2   134088
read      239.3   106.6    86.8   123.9   134.2   222.2   280.1   306.4   322.9   341.4   363.8   395.8   467.4   748.0  2661.1  66186.0    66126
read      241.1   113.0    80.4   124.5   135.2   218.4   277.8   307.2   326.2   346.7   372.2   408.9   499.5   819.0  3046.4  78102.8    78214
read      243.5   115.1    80.4   126.0   136.5   231.9   284.2   307.5   322.4   339.9   361.6   393.7   468.4   909.3  3161.2  55310.0    55191
read      242.9   103.6    80.4   125.5   136.2   232.2   283.4   306.0   320.3   337.7   359.0   392.0   472.4   965.5  2802.2  54125.0    54081
read      240.8   121.8    86.8   127.4   138.9   215.0   265.7   295.5   316.7   341.0   370.3   413.4   521.3  1363.3  3603.6 112270.0   112478
read      325.9   147.2    80.4   177.2   200.1   306.8   353.3   380.8   401.4   428.7   465.4   529.5   688.2  1382.9  5030.4 179473.0   179666
read      246.1   126.4    80.4   126.8   138.6   220.3   273.9   304.2   325.1   349.2   379.6   426.0   553.1  1275.3  3474.3 100582.8   100584
