Random waveform, supplied seed
Total number of intervals = 200 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582, 81972, 42852, 51852, 109368, 55794, 35534, 90576, 95085, 100029, 72551, 84629, 74136, 130756, 69916, 72019, 78070, 99548, 36393, 172591, 8325)
Average QPS expected = 87951
Timestamp start: 1746889441502
Timestamp end: 1746890641829

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      234.9   129.2    93.8   146.7   161.6   224.4   249.4   264.7   275.1   290.4   309.8   340.3   417.7  1171.8  4757.6   8221.3     8195
read      330.2   216.7    80.4   151.8   171.8   291.8   356.3   396.5   427.7   465.6   516.0   596.2   849.9  2582.7  7637.7 158407.8   158594
read      324.2   169.9    86.8   152.4   172.3   294.4   358.7   396.2   424.6   458.7   502.8   574.6   759.2  2056.1  4086.9 149739.0   149766
read      272.7   324.1    93.8   146.4   162.7   238.3   268.9   286.5   298.9   315.3   338.0   376.2   984.7  5191.9  7999.7  10411.5    10382
read      487.6   549.7    80.4   204.2   232.8   349.2   419.9   471.9   518.5   584.0   721.0  1423.2  2768.7  7182.1  9784.4 170496.5   170548
read      390.3   264.4    80.4   203.6   227.6   345.4   414.2   456.0   487.1   525.0   575.3   659.5   925.8  4088.2  7598.0 150181.2   150565
read      318.0   179.8    80.4   151.3   171.6   292.0   353.0   389.0   415.1   446.3   486.8   548.8   696.6  1988.5  6408.0 137222.2   137144
read      291.9   152.8    80.4   145.7   163.7   271.3   323.1   352.9   373.9   400.1   434.2   491.1   630.8  1775.1  5228.1 143729.2   143496
read      316.3   216.2    80.4   150.3   169.5   284.5   341.7   374.8   400.1   431.3   472.7   545.3   783.0  3240.8  7366.0 144657.7   144743
read      276.6   221.0    80.4   132.7   146.7   236.5   290.3   320.6   342.8   369.3   403.7   467.7  1333.7  2791.0  6287.8 117099.0   116745
read      280.1   194.9    80.4   136.2   151.0   245.6   299.1   331.2   355.1   384.1   423.7   495.7   817.8  2701.2  5462.1 129275.3   129314
read      286.8   155.5    80.4   145.9   163.1   261.7   312.1   341.8   364.6   392.3   429.4   492.8   679.3  1809.6  4964.9 144814.0   144723
read      258.7   178.8    80.4   130.5   143.6   228.5   281.3   312.0   334.3   360.6   393.5   445.3   633.0  2014.6  7381.7 117486.5   117379
