Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1746901056935
Timestamp end: 1746902057238

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      346.6   179.4    80.4   179.1   204.0   325.7   380.6   411.6   434.2   462.2   498.7   556.9   713.0  2335.5  6380.4 170737.0   170515
read      265.8   140.0    80.4   137.4   152.1   245.3   294.9   322.4   342.5   366.2   395.7   440.7   561.2  1548.4  4526.0 128349.8   128494
read      266.6   104.1    86.8   134.4   148.6   267.7   301.1   318.1   331.3   345.5   366.5   398.8   488.8  1191.1  2361.9  20701.0    20789
read      255.8   142.8    80.4   123.2   134.1   238.9   299.4   324.5   341.6   361.5   386.6   426.8   545.1  1846.7  3359.7  63612.7    63647
read      247.2   167.4    80.4   122.1   132.7   231.2   293.0   317.8   334.3   352.2   373.4   406.5   487.9  1174.1  6338.2  64729.8    64802
read      254.0   145.8    80.4   124.0   134.9   243.0   298.5   321.3   337.2   355.1   376.8   412.8   509.2  1722.6  4747.8  55716.4    55719
read      342.6   148.3    80.4   182.8   207.5   324.1   375.4   404.7   427.7   454.9   491.0   548.3   704.8  1530.2  4123.1 174317.2   174179
read      251.5   125.9    80.4   127.9   140.0   227.5   284.0   314.1   334.9   358.6   387.4   429.8   541.1  1373.3  3294.3 106522.0   106356
read      346.9   155.7    80.4   182.4   206.9   323.6   379.9   413.8   438.6   468.8   508.4   573.8   723.9  1567.8  4751.7 178670.0   178750
read      255.2   143.5    80.4   128.6   141.2   230.7   285.9   315.9   337.0   361.2   391.2   435.3   560.4  1475.5  4416.8 105680.6   105831
read      253.2   138.1    80.4   127.6   139.6   224.6   282.1   314.4   336.9   362.6   394.0   441.1   594.5  1499.9  3399.4 110598.1   110667
