Random waveform, supplied seed
Total number of intervals = 112 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185)
Average QPS expected = 93505
Timestamp start: 1746902727914
Timestamp end: 1746903728216

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      246.1   114.0    86.8   141.5   159.5   234.6   264.4   282.1   295.4   313.0   336.1   371.7   460.1   989.5  5001.7   8150.3     8195
read      399.4   438.2    86.8   185.4   212.3   323.1   372.9   405.2   433.5   471.4   533.8   660.0  2988.3  5267.6  8055.7 158141.7   158594
read      294.0   208.8    80.4   150.7   168.2   263.5   308.4   335.9   357.7   385.4   425.4   501.8   774.1  3242.1  7239.3 149745.3   149766
read      254.2   241.9    86.8   133.9   149.1   226.9   262.5   283.0   297.7   316.6   341.6   384.3   803.1  3542.9  7946.6  10383.4    10382
read      399.5   287.6    86.8   195.1   223.0   342.2   399.2   436.0   466.8   507.5   571.4   713.1  1547.3  3420.5  7416.8 170364.1   170548
read      307.7   180.7    80.4   154.6   174.0   276.8   326.4   357.8   382.6   415.4   463.6   551.0   782.7  2314.1  5839.2 150489.8   150565
read      301.9   236.3    80.4   140.7   156.6   256.9   314.8   350.5   378.7   414.8   465.9   561.8  1018.5  3185.7  7637.5 137317.2   137144
read      285.2   162.9    80.4   141.5   157.2   251.4   305.4   338.9   365.1   398.1   445.1   530.4   745.6  1729.1  3987.6 143588.1   143496
read      285.2   168.1    80.4   143.0   159.2   253.4   306.1   338.3   363.2   394.0   435.9   510.6   724.8  2159.2  5181.6 144648.6   144743
read      270.4   157.5    80.4   131.2   144.5   234.7   296.0   331.9   358.0   389.1   430.3   502.3   707.8  1593.9  4797.9 116689.7   116745
read      276.9   172.9    80.4   134.8   149.2   240.4   298.1   333.8   360.7   393.7   438.1   519.1   730.1  1806.1  5316.5 129463.1   129314
read      278.8   161.5    80.4   140.7   156.0   247.3   298.9   331.1   355.7   386.8   429.8   506.0   707.7  1711.0  5074.8 144599.8   144723
read      263.2   153.8    80.4   130.1   143.1   230.3   288.6   322.4   346.9   375.8   414.3   478.0   661.3  1662.3  4305.8 117453.6   117379
read      261.2   154.0    80.4   130.4   143.4   228.8   284.0   317.0   340.8   368.8   404.2   465.5   674.9  1724.8  3632.7 119872.2   119931
read      268.2   168.8    80.4   133.8   147.9   234.5   288.5   320.5   344.6   373.7   413.4   482.5   706.5  2138.7  4378.4 132145.3   132052
read      285.1   229.2    80.4   140.5   155.8   248.6   302.4   336.3   363.0   396.8   445.4   535.2   758.4  1872.7  6975.9 143475.9   143350
read      288.9   187.7    74.4   142.5   158.7   253.4   307.4   340.7   367.3   401.1   451.1   539.1   759.6  2073.0  5723.0 143504.8   143518
read      371.5   191.9    86.8   198.0   225.5   345.4   397.7   429.2   453.6   483.5   525.7   596.5   829.7  2604.0  6416.6 172946.6   172981
read      260.9   144.7    80.4   127.6   139.7   231.0   293.6   326.4   349.1   375.7   410.4   467.7   634.6  1281.7  3685.1  94001.3    94027
read      349.5   163.7    80.4   176.8   200.8   322.8   382.1   418.0   445.3   479.2   526.1   602.3   780.8  1467.4  4639.6 170252.7   170019
read      351.7   141.2    86.8   187.1   213.4   332.2   384.0   415.1   438.4   468.2   508.0   575.4   730.2  1320.5  3319.9 178977.7   179090
read      241.7   108.8    80.4   127.1   138.6   227.5   277.0   300.9   317.1   335.9   359.4   396.0   486.7   709.0  3652.7  47244.6    47130
read      272.0   224.9    93.8   139.1   153.9   262.9   304.5   324.9   339.6   357.3   379.7   416.4   510.5  1373.0 14096.2  19414.0    19439
read      330.1   289.7    80.4   141.6   158.1   267.1   326.8   364.0   393.6   432.1   492.5   636.7  1590.4  3264.1  7373.2 128878.2   128963
read      268.0   103.8    86.8   135.7   149.4   262.5   306.5   328.3   343.2   362.0   385.5   422.6   515.4  1060.1  2021.9  23746.9    23787
read      254.9   125.9    80.4   125.2   136.4   233.5   297.9   326.6   345.2   367.1   394.6   436.3   541.8  1169.0  3275.9  61981.9    61848
read      254.4   159.7    80.4   125.5   137.3   218.5   279.3   314.3   338.3   365.3   399.0   456.8   672.3  1776.5  4929.4 101978.6   101968
read      250.8   153.3    80.4   126.4   138.2   215.7   271.9   306.3   330.5   358.0   392.1   446.6   682.6  1841.2  3809.1 108809.2   108767
read      257.1   188.0    74.4   124.5   136.1   216.5   277.4   313.1   337.5   365.1   399.7   459.9   765.9  2562.1  6365.3  97113.9    97139
read      291.2   173.0    80.4   146.7   163.3   255.4   306.1   338.5   365.3   400.2   453.0   546.6   780.0  2015.5  5703.8 158746.4   158594
read      307.2   218.5    80.4   141.4   157.7   258.0   315.7   354.7   387.0   429.6   495.2   626.0  1036.5  2221.2  4619.0 141294.3   141240
read      267.9   198.9    80.4   127.3   139.2   246.5   302.4   332.1   352.6   376.5   405.7   452.3   584.8  2274.4  7623.1  41412.3    41405
read      293.0   218.8    80.4   125.2   137.7   259.4   329.5   366.4   391.6   419.8   454.4   510.6   883.2  2940.3  7129.4  57908.3    57997
read      300.6   211.1    86.8   139.1   154.4   253.5   314.8   354.8   386.5   426.7   484.7   593.1   937.1  2374.2  5975.6 133630.4   133577
read      247.9   117.9    80.4   126.0   136.9   232.1   289.9   316.0   333.2   352.1   375.2   412.5   497.9   781.0  2472.7  53764.6    53832
read      278.5   190.8    80.4   135.7   150.1   238.6   293.5   327.8   354.8   389.0   436.1   525.3   773.1  2677.6  5525.2 139731.4   139832
read      310.0   163.9    74.4   160.5   179.6   279.1   327.0   357.8   382.6   416.2   467.0   562.6   790.7  1844.1  4755.8 170508.0   170515
read      271.9   204.4    80.4   133.0   146.8   233.8   286.4   318.3   343.0   373.4   415.6   489.6   753.3  3242.8  5463.8 128545.6   128494
read      264.4   166.4    86.8   135.8   149.8   247.6   290.6   313.1   329.2   347.6   372.4   413.2   571.7  2507.7  7349.2  20756.1    20789
read      253.2   136.6    74.4   123.7   134.5   229.1   293.5   323.2   342.6   364.9   392.8   435.5   547.7  1527.3  3297.0  63598.6    63647
read      247.3   144.5    86.8   123.7   134.3   223.1   286.4   316.1   335.5   357.0   383.1   423.6   522.0  1095.9  6600.5  64731.4    64802
read      248.0   126.3    80.4   124.7   135.5   229.9   288.0   314.8   332.5   352.1   376.4   417.3   509.3  1089.2  4767.3  55601.7    55719
read      329.6   199.5    80.4   166.1   187.8   295.8   346.6   379.7   405.1   440.4   493.9   590.5   851.6  2518.3  7181.1 173835.8   174179
read      285.0   193.1    80.4   128.9   142.0   236.5   304.8   345.2   375.9   414.5   467.8   572.5   897.0  2149.1  5135.4 106372.6   106356
read      333.8   163.6    86.8   171.6   193.7   303.5   356.0   389.7   416.5   451.8   502.1   591.0   820.4  1648.7  3954.7 178617.1   178750
read      265.4   177.5    80.4   127.1   139.5   227.6   290.5   327.0   353.5   385.4   428.1   501.6   720.3  1395.1  4121.7 105641.4   105831
read      259.3   146.8    80.4   128.0   140.2   223.9   282.1   317.1   342.4   372.4   412.2   479.0   692.9  1605.8  3485.7 110752.6   110667
read      243.2    84.7    93.8   142.8   159.1   231.0   261.2   279.0   293.2   311.5   336.1   375.1   469.8   929.0  2218.1   8772.9     8803
read      278.0   158.2    86.8   125.5   137.5   259.5   324.3   355.7   376.0   399.2   428.0   471.2   616.0  1763.8  4625.4  45592.8    45662
read      273.6   158.9    86.8   129.8   142.5   262.4   314.8   340.5   358.7   379.6   406.7   450.8   572.5  1293.2  7544.5  30899.1    30867
read      276.3   139.5    86.8   126.0   138.0   259.9   323.7   354.4   374.4   397.7   426.3   468.0   597.8  1511.1  3035.1  45685.0    45656
read      251.1   175.1    80.4   124.5   136.1   216.2   275.1   310.8   335.6   363.9   399.1   456.8   639.2  1393.5  4312.4 100916.1   100938
read      267.5   153.0    80.4   132.2   145.9   231.9   287.6   321.8   348.2   381.0   424.9   499.9   718.5  1542.1  3757.0 132511.1   132360
read      242.4   111.4    80.4   122.7   133.2   219.3   281.6   311.8   331.3   352.5   377.5   416.4   501.9   800.2  3184.6  67525.3    67591
read      265.2   121.5    86.8   128.3   140.2   255.6   308.0   333.1   349.6   368.5   392.6   429.2   532.6  1330.9  3025.3  33891.9    33910
read      247.1   134.7    80.4   123.1   134.1   216.2   279.2   314.1   337.1   362.6   393.4   439.4   559.5  1279.0  3476.6  85758.6    85729
read      251.5   108.6    93.8   142.3   158.5   240.8   273.9   292.6   306.6   322.6   344.8   382.8   471.6   940.8  3615.9  12951.1    12884
read      275.4   147.1    86.8   125.7   137.5   258.8   322.1   352.4   372.5   395.4   423.6   465.4   589.2  1495.3  4130.6  45565.0    45621
read      270.2   154.3    80.4   127.4   139.3   259.3   315.5   341.2   358.7   377.7   401.7   439.0   539.5  1387.8  4918.5  36907.2    36938
read      287.2   170.3    80.4   125.0   137.4   260.5   330.7   367.3   392.0   419.5   453.1   504.7   751.9  2071.7  3463.3  56840.0    56902
read      258.3   161.9    80.4   125.7   137.7   219.8   280.1   316.7   342.7   372.8   412.1   478.1   728.5  1685.5  4635.8 102211.2   102243
read      250.1   122.0    86.8   135.0   151.0   238.5   273.0   292.1   306.3   322.4   345.5   386.2   488.5  1396.9  3852.1  14043.4    14085
read      258.3   151.7    80.4   124.5   136.2   221.7   286.2   322.8   347.9   377.1   415.2   477.1   668.6  1628.8  3692.1  94086.6    94103
read      244.6   113.7    80.4   123.7   134.3   226.7   285.0   312.2   330.3   350.0   374.3   414.1   501.9   746.9  3100.1  58122.8    58175
read      287.9   176.5    80.4   141.7   157.8   250.1   302.2   336.0   363.2   398.1   450.6   546.1   820.0  2002.1  4501.0 151101.0   151312
read      246.1   129.1    80.4   122.9   133.9   215.5   277.1   311.3   334.0   359.2   390.0   435.9   573.6  1376.8  3190.7  83410.1    83333
read      298.3   169.7    74.4   152.7   170.9   266.7   315.0   345.7   371.4   404.4   455.6   545.5   754.6  1712.5  4706.0 164796.3   165153
read      263.4   149.6    80.4   130.8   144.1   228.1   284.1   318.7   344.8   375.9   418.2   489.9   688.9  1573.4  3893.2 124003.4   123975
read      258.3   123.5    86.8   130.6   143.1   246.1   293.2   316.5   332.8   350.8   373.0   410.1   509.5  1550.7  2880.0  28381.4    28449
read      251.3   159.4    86.8   138.8   154.4   238.6   273.7   292.7   306.5   321.9   344.4   382.7   477.0  1184.1  8537.2  14876.3    14903
read      269.8   136.1    86.8   129.5   142.1   258.2   311.0   336.6   354.0   373.0   398.6   436.7   547.5  1465.8  3488.6  31212.1    31189
read      274.9   157.4    80.4   128.5   140.8   260.4   320.9   349.3   367.9   389.0   414.4   453.8   570.3  1463.1  6700.4  40679.4    40636
read      249.9   130.3    80.4   124.0   135.0   219.4   283.6   317.8   340.8   366.4   397.9   447.4   566.7  1236.9  3303.0  80470.6    80574
read      318.3   173.1    80.4   161.7   181.9   284.3   334.0   366.8   394.2   430.9   486.7   587.8   838.2  1892.7  3790.3 168803.2   168820
read      295.8   167.4    80.4   152.1   169.8   263.9   311.8   342.3   367.4   399.9   449.2   541.1   787.2  1666.7  4563.1 162735.2   162621
read      256.9   153.2    80.4   126.4   138.6   223.0   281.9   316.9   341.8   370.5   407.4   468.8   657.1  1484.2  4269.2 101673.8   101621
read      243.9   118.9    80.4   124.3   135.0   224.9   282.8   310.7   329.1   348.9   373.4   412.1   499.3   764.7  3203.3  58539.3    58592
read      286.0   168.7    80.4   143.4   159.8   250.1   299.9   332.6   358.9   393.5   444.8   541.6   792.4  1816.2  4683.0 152933.1   153042
read      253.1   139.5    80.4   127.8   140.0   220.9   276.1   310.6   335.6   364.8   400.9   460.9   627.5  1168.4  4709.4 112240.8   112238
read      292.1   172.0    80.4   150.0   167.2   258.9   306.1   336.6   361.6   394.7   445.6   543.5   791.9  1655.8  4610.9 160357.9   160265
