Timestamp start: 1745953051438
Timestamp end: 1745954851753

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      225.1   140.5    63.8   108.3   119.5   198.4   245.9   275.1   297.8   323.1   355.9   404.1   550.1  1484.1  5067.4 106432.6   106356
read      376.7   190.3    74.4   184.6   210.6   351.0   419.6   458.0   486.3   520.2   564.9   634.5   799.2  2068.2  6151.4 178652.2   178750
read      239.4   158.1    68.9   111.3   123.8   209.7   260.0   291.5   314.9   341.9   377.7   436.0   635.1  1868.3  4829.7 105817.5   105831
read      222.0   141.9    68.9   106.8   117.5   193.9   241.3   271.0   294.0   320.2   353.1   401.6   546.7  1730.5  4461.5 110702.2   110667
read      190.5   166.2    68.9   119.5   132.7   176.9   194.7   204.9   213.1   222.6   235.0   260.9   411.5  2219.2  7667.5   8822.5     8803
read      252.9   172.6    68.9   100.7   111.7   226.3   286.2   321.8   346.0   373.9   406.5   458.5   646.6  2280.5  4679.8  45577.4    45662
read      232.3   109.7    68.9   103.7   117.1   218.5   263.2   289.3   307.3   326.9   350.9   390.8   502.5  1173.7  2666.6  30737.5    30867
read      249.0   162.4    63.8   100.2   111.0   224.1   283.5   319.3   342.5   369.3   400.7   449.3   606.5  2251.8  4024.2  45706.6    45656
read      228.8   166.5    68.9   105.4   116.0   195.1   246.0   276.7   300.4   327.9   363.0   419.9   714.5  1990.3  5661.4 100841.6   100938
read      227.5   144.6    68.9   110.7   122.7   200.7   245.8   273.4   295.1   321.0   354.8   405.9   559.2  1745.6  4787.0 132306.0   132360
read      220.2   113.5    63.8   103.7   113.3   202.9   255.4   282.1   300.6   320.8   345.5   387.0   491.4   802.1  3291.3  67596.3    67591
read      230.0   111.0    68.9   103.3   115.7   217.0   259.6   285.1   303.9   324.5   349.3   391.1   504.3  1028.2  2771.7  33962.6    33910
read      225.7   143.6    68.9   103.8   113.8   195.5   250.5   281.9   304.6   330.1   363.0   416.0   595.8  1814.7  3579.7  85808.0    85729
read      192.7   139.3    68.9   113.0   129.7   184.2   205.7   217.9   227.4   237.6   252.8   278.0   368.7   934.3  8803.1  12908.9    12884
read      251.0   165.2    68.9   100.9   111.7   226.5   286.0   322.0   346.2   373.8   404.7   454.7   609.5  1852.3  6036.1  45440.2    45621
read      240.0   127.7    68.9   102.0   114.2   222.4   272.4   303.0   323.2   345.0   373.6   417.5   545.1  1348.3  2743.5  36971.3    36938
read      239.1   147.8    63.8   102.3   112.4   216.4   269.4   299.6   321.9   349.3   389.6   450.2   591.6  1761.0  3716.6  56870.1    56902
read      219.0   127.4    63.8   105.1   115.4   191.2   240.5   271.1   293.8   319.6   351.4   399.7   540.6  1312.4  3501.6 102289.0   102243
read      197.4   152.6    68.9   112.8   129.5   187.9   210.9   223.6   232.6   244.3   259.7   287.3   372.0  1302.3  7914.6  14117.6    14085
read      232.3   166.6    68.9   103.7   113.9   193.9   248.6   281.7   307.1   337.1   377.1   454.7   743.7  1882.7  4290.5  94076.4    94103
read      220.2   107.2    68.9   104.0   113.7   208.7   256.7   280.7   297.5   316.5   339.5   374.1   469.0   811.0  3060.8  58068.0    58175
read      266.8   171.7    68.9   125.8   142.6   239.3   290.9   321.2   344.8   373.8   412.8   474.4   632.0  2086.8  6640.5 151018.2   151312
read      223.0   115.8    68.9   104.5   114.6   197.1   251.6   282.6   304.8   329.9   361.2   408.1   548.2  1025.4  2725.6  83323.0    83333
read      356.4   179.1    74.4   173.9   199.8   330.6   395.3   433.1   461.3   495.0   538.6   605.3   748.0  1723.0  6997.6 165226.7   165153
read      230.7   145.3    68.9   110.7   122.8   202.9   249.3   278.2   300.6   327.1   361.8   415.1   584.2  1696.7  4426.9 123883.5   123975
read      227.3   128.6    68.9   106.1   120.0   213.3   251.1   273.2   290.6   310.9   335.6   374.2   494.9  1697.7  3602.9  28378.1    28449
read      199.2    89.8    68.9   111.0   128.2   190.5   216.1   230.0   239.9   252.0   269.4   297.6   394.8  1158.5  2801.8  14892.0    14903
read      231.7   131.5    68.9   104.0   117.3   215.7   260.2   286.4   305.2   325.5   349.0   388.6   499.5  1651.2  3656.3  31145.1    31189
read      243.9   165.2    68.9   101.5   113.0   221.1   274.2   308.1   330.0   353.6   383.6   428.4   589.8  2015.8  5512.5  40655.6    40636
read      224.0   170.3    68.9   103.6   113.5   196.6   250.9   280.8   302.5   327.8   359.8   410.3   556.9  1430.7  4587.6  80510.2    80574
read      279.2   150.9    68.9   137.2   155.7   257.0   307.0   336.3   358.5   385.6   421.5   477.9   614.0  1705.3  4124.8 168816.0   168820
read      258.2   136.3    68.9   127.4   144.0   235.7   282.7   310.9   332.2   358.1   392.3   448.0   591.2  1499.6  3656.5 162481.5   162621
read      220.5   120.5    63.8   104.9   115.3   193.4   242.7   272.3   294.7   321.6   355.4   408.2   568.1  1145.9  2970.4 101610.8   101621
read      216.7   103.2    68.9   104.5   114.5   206.1   252.0   274.1   290.2   308.6   331.1   366.0   460.6   759.3  2598.9  58613.8    58592
read      240.5   146.5    68.9   118.3   132.8   216.0   261.1   289.2   310.4   335.9   369.2   422.6   560.6  1673.7  4714.9 153248.0   153042
read      217.0   137.2    68.9   104.6   114.9   188.5   235.0   264.5   286.6   312.7   344.4   394.5   550.2  1704.8  3754.0 112356.5   112238
read      250.7   137.4    68.9   122.9   138.8   226.9   273.4   302.1   323.1   349.4   385.4   442.5   585.7  1453.9  3743.8 160415.5   160265
read      216.2   101.0    68.9   103.9   113.6   206.7   251.8   273.5   289.3   307.5   329.9   364.9   457.5   699.3  2844.7  57018.1    57109
read      215.7   129.7    68.9   103.4   113.1   190.7   242.3   271.7   292.8   316.9   345.1   388.6   489.3  1332.6  3500.9  88582.5    88551
read      181.2    94.9    74.4   120.3   132.1   173.6   190.2   199.8   207.3   216.0   228.5   249.4   330.3  1118.8  3959.9   8370.4     8385
read      240.3   158.1    68.9   103.9   116.7   220.7   269.0   297.6   317.0   338.3   365.4   406.2   547.3  2155.1  5457.3  33999.4    34088
read      242.0   211.0    68.9   108.3   119.6   200.0   249.2   279.6   302.9   330.8   367.2   428.7  1325.8  2700.1  4047.0 113449.8   113600
read      224.3   144.2    63.8   109.9   121.5   197.6   241.6   269.6   291.1   316.6   349.0   399.8   547.3  1797.9  3701.0 131886.0   131842
read      214.6   124.4    68.9   104.5   114.9   187.8   233.5   262.3   284.1   310.2   341.8   390.3   535.3  1335.2  3212.2 112084.2   112066
