Timestamp start: 1745956931747
Timestamp end: 1745958732070

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      198.8   387.7    74.4   127.2   139.7   182.0   198.4   208.2   215.4   224.7   235.9   260.1   395.0  2436.2 26663.7   8181.9     8195
read      377.7   317.5    68.9   166.0   193.9   327.4   402.2   449.5   482.7   520.4   566.7   635.1   938.0  4437.0  8009.1 158302.1   158594
read      313.4   250.0    68.9   133.1   153.3   271.6   332.9   371.6   402.5   442.6   496.5   580.9   819.8  3792.0  7263.1 149824.9   149766
read      188.0   116.2    74.4   116.4   130.7   177.6   196.7   207.7   215.6   225.8   238.3   263.0   380.4  1783.5  3958.9  10373.6    10382
read      394.4   274.5    68.9   173.6   201.1   341.9   416.3   462.2   497.2   539.9   596.8   703.6  1504.9  3133.2  7693.2 170255.3   170548
read      350.3   288.8    68.9   135.6   158.7   300.5   374.7   424.3   462.8   509.6   572.1   665.7   984.3  4245.6  8006.3 150527.2   150565
read      283.3   176.3    68.9   128.8   147.2   252.8   306.3   339.1   365.3   398.3   445.7   526.1   710.6  2331.5  5333.2 137102.7   137144
read      250.1   151.9    68.9   117.9   132.7   223.1   271.3   301.3   324.1   352.6   391.3   455.4   633.6  1731.8  4445.5 143515.0   143496
read      266.1   177.3    68.9   119.3   135.0   232.5   286.4   319.3   344.8   377.3   423.6   505.7   718.1  2342.6  5775.3 144948.2   144743
read      227.7   155.5    68.9   107.6   118.9   199.4   246.6   274.4   296.4   323.5   358.8   413.2   573.7  2256.3  4479.8 116701.3   116745
read      237.0   154.4    68.9   111.9   125.0   210.0   256.9   286.0   308.8   336.6   372.8   430.2   586.0  1879.8  5305.1 129399.2   129314
read      292.6   178.4    68.9   124.1   142.1   256.4   318.4   357.1   387.4   426.5   483.0   580.8   788.3  1658.5  5406.3 144566.3   144723
read      232.7   161.8    63.8   108.6   120.2   203.3   251.3   280.0   302.8   330.5   366.5   423.3   597.4  2276.3  4336.3 117308.1   117379
read      255.6   191.3    68.9   112.9   127.0   221.8   274.4   308.3   334.0   365.9   407.6   480.5   712.3  2775.1  6366.2 119983.4   119931
read      324.6   219.8    68.9   133.2   154.4   285.2   353.2   395.6   428.4   469.0   527.5   625.0   877.5  2767.3  6534.1 132327.8   132052
read      394.7   219.6    74.4   178.6   210.1   356.4   434.1   481.3   516.7   558.8   613.9   699.6   920.2  2627.9  6843.4 143325.6   143350
read      409.0   232.4    74.4   184.0   217.2   367.6   447.4   497.9   535.9   581.4   638.9   732.5   973.3  2767.6  7197.8 143674.9   143518
read      487.0   256.3    86.8   246.4   277.1   433.6   535.8   596.1   638.3   688.0   750.6   853.4  1099.6  3114.7  7514.0 172987.1   172981
read      450.0   242.9    74.4   201.3   236.2   398.9   492.0   550.5   595.2   650.0   722.6   836.7  1112.5  2326.5  7253.3  94063.2    94027
read      493.8   233.2    86.8   254.6   283.8   439.4   544.4   608.3   652.3   702.4   766.5   864.7  1106.4  2196.8  6339.2 169956.0   170019
read      477.9   230.6    74.4   232.1   266.5   426.4   528.6   589.5   633.5   685.5   752.9   861.9  1099.6  1877.4  6908.2 179080.3   179090
read      337.4   213.0    68.9   129.0   148.1   294.8   370.0   420.5   460.8   510.6   580.5   689.2   932.0  1530.4  7289.4  47129.2    47130
read      238.0   195.9    68.9   114.9   133.1   219.3   256.1   278.3   296.0   318.6   346.1   395.9   548.8  1496.4  7672.5  19418.7    19439
read      448.5   307.4    74.4   176.8   213.9   381.4   467.8   528.4   575.4   632.1   709.3   852.1  1696.3  3241.5  7542.6 128816.5   128963
read      246.2   158.8    68.9   111.8   128.9   228.8   271.0   297.2   317.8   340.4   369.8   420.5   554.7  1292.3  8159.5  23843.9    23787
read      254.2   156.6    68.9   109.9   121.7   226.3   283.1   316.7   340.7   369.8   410.1   480.7   701.3  1516.4  3973.9  61693.1    61848
read      261.7   158.6    68.9   116.1   130.8   230.4   285.6   320.4   346.3   378.4   420.9   490.0   713.9  1686.1  3992.0 102015.3   101968
read      249.9   162.8    68.9   113.9   128.0   220.8   271.4   303.1   327.6   357.6   396.7   459.7   648.0  2062.6  4731.7 108880.1   108767
read      235.5   170.9    63.8   109.4   121.0   208.8   258.4   287.8   311.1   338.9   373.7   428.2   587.8  1754.2  3738.5  97202.0    97139
read      418.3   178.3    80.4   213.9   242.2   385.1   468.1   517.1   550.6   589.5   636.0   706.1   853.5  1284.0  4916.4 158706.9   158594
read      299.3   168.2    68.9   130.7   150.4   268.9   328.8   366.7   396.9   435.5   489.2   571.3   733.5  1126.7  5236.5 141188.9   141240
read      243.4   226.4    68.9   101.1   112.9   218.7   264.7   292.7   314.9   340.2   372.0   424.2   646.7  3342.2  7968.1  41377.8    41405
read      273.6   314.5    68.9    98.9   109.0   221.1   288.1   332.8   363.5   397.5   438.1   504.6  1196.8  4849.3  7765.3  58122.2    57997
read      366.9   446.8    63.8   121.5   140.2   259.2   318.1   356.9   390.7   439.8   535.2  1326.3  2266.0  4755.7  7935.4 133581.3   133577
read      214.3    99.8    68.9   102.3   111.9   208.5   249.6   269.0   282.8   298.7   321.7   359.2   448.2   723.4  3074.2  53898.0    53832
read      231.3   154.1    63.8   111.9   124.9   206.1   249.9   276.1   296.7   322.3   356.8   411.1   559.7  1993.8  5116.6 139818.8   139832
read      384.0   197.4    74.4   193.3   220.0   358.5   430.7   468.9   496.3   527.7   567.3   627.4   767.4  2441.5  6515.0 170435.1   170515
read      244.1   171.7    68.9   112.5   126.1   214.3   262.5   291.8   315.1   343.7   383.0   448.7   634.8  2475.7  5333.5 128526.5   128494
read      230.6   153.0    68.9   116.5   135.5   214.4   246.9   266.0   279.9   297.2   322.6   363.6   544.4  1883.8  6068.9  20819.5    20789
read      234.5   214.6    68.9   101.8   111.7   207.4   258.6   284.7   304.1   328.5   360.8   417.3   622.7  3184.3  7328.8  63440.6    63647
read      218.8   122.9    68.9   102.7   112.4   203.7   253.3   277.0   293.9   314.9   341.1   381.1   491.5   943.1  3633.1  64844.5    64802
read      222.1   117.6    68.9   104.4   114.7   213.4   257.9   279.2   294.4   313.6   337.9   374.9   471.9   856.3  2429.1  55595.2    55719
read      382.8   212.0    74.4   182.6   210.2   350.4   423.2   465.3   497.1   535.4   585.1   661.5   830.8  2638.5  7042.1 173980.7   174179
