Timestamp start: 1746886609705
Timestamp end: 1746887810025

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      231.4   106.0    86.8   145.9   160.2   222.3   245.7   259.7   270.6   284.6   303.2   336.2   415.7  1091.2  6322.2   8225.9     8195
read      310.4   200.4    80.4   159.1   178.9   281.4   328.0   356.2   377.4   403.9   442.8   515.1   829.8  2984.9  6689.6 158251.8   158594
read      271.7   178.6    80.4   143.6   160.1   247.4   290.6   315.8   335.1   358.4   389.4   438.5   606.4  2881.7  5643.0 149399.0   149766
read      277.5   368.5    86.8   145.4   162.4   234.1   264.2   281.1   293.9   311.0   334.8   379.7  1341.7  5925.8  8135.4  10409.9    10382
read      362.9   267.7    86.8   192.1   218.6   319.8   359.3   382.5   400.3   425.2   462.2   559.2  1523.1  3389.8  7292.3 170434.8   170548
read      263.2   143.9    80.4   143.4   159.8   245.6   286.6   310.2   327.6   348.4   376.4   422.3   537.8  1665.3  5242.6 150733.9   150565
read      279.5   285.4    80.4   137.1   151.6   238.8   285.0   311.5   331.2   355.2   387.5   442.0  1145.0  4099.4  7853.1 137019.9   137144
read      251.3   132.0    80.4   137.2   151.2   230.1   272.3   297.2   316.1   339.0   368.5   415.1   538.2  1689.9  4021.8 143697.4   143496
read      254.9   132.8    74.4   138.5   152.9   234.1   277.3   303.1   321.5   344.5   374.2   422.2   540.3  1385.3  4063.2 144659.6   144743
read      242.3   128.8    80.4   128.2   140.2   216.5   265.2   294.3   315.7   340.5   370.8   416.6   532.8  1517.4  3412.0 116849.1   116745
read      244.7   130.4    74.4   131.0   144.0   221.2   266.5   293.7   313.8   337.6   367.6   412.4   523.3  1481.5  4028.9 129238.9   129314
read      255.6   126.9    86.8   139.4   154.0   235.1   277.6   303.0   321.1   343.9   373.5   421.7   543.4  1509.6  3628.3 144704.8   144723
read      243.8   152.6    80.4   128.0   140.1   216.4   264.8   293.9   315.2   339.7   369.8   414.9   537.5  2114.6  5667.0 117524.8   117379
read      242.7   135.7    80.4   128.2   140.3   216.3   263.8   292.8   313.8   338.4   368.9   414.7   547.2  1553.8  4237.2 119831.8   119931
read      243.2   120.4    80.4   131.1   144.3   221.2   265.6   292.2   312.1   335.7   365.5   409.6   510.9  1242.2  3710.1 131878.0   132052
read      252.8   149.8    80.4   136.4   150.9   231.6   274.1   299.4   318.1   341.0   370.4   416.7   526.5  1888.5  5304.1 143286.2   143350
read      256.0   130.1    74.4   138.1   152.7   234.6   277.8   303.5   322.1   345.4   375.8   425.3   559.1  1550.7  3953.6 143316.4   143518
read      313.5   152.5    80.4   173.0   195.1   296.8   338.8   363.5   381.9   404.0   435.8   492.2   641.8  1660.0  5489.3 173085.5   172981
read      245.6   149.2    80.4   124.8   136.4   216.4   271.7   303.3   324.8   348.9   378.8   424.9   573.3  1658.6  5354.5  94066.0    94027
read      331.0   147.2    86.8   176.8   200.0   312.2   363.8   393.5   415.5   441.7   476.4   533.7   671.4  1574.8  4010.7 170100.4   170019
read      353.2   151.4    86.8   193.7   220.8   332.6   381.9   412.2   435.1   464.4   503.4   568.8   724.5  1545.5  4152.0 179135.4   179090
read      258.9   128.3    80.4   126.8   138.5   242.6   296.4   324.0   343.8   367.4   396.2   437.4   535.0  1059.8  3708.6  47046.8    47130
read      264.8   126.2    93.8   137.9   154.4   257.6   296.2   315.9   329.9   345.2   366.6   398.5   475.8  1517.0  3811.8  19480.9    19439
read      287.2   244.5    74.4   136.0   150.7   241.3   292.0   321.2   343.9   371.5   408.9   485.9  1466.1  2547.8  7202.0 128688.9   128963
read      267.5   112.9    93.8   135.0   149.8   260.9   302.4   323.1   338.5   356.3   378.4   415.2   505.3  1201.0  3491.5  23728.6    23787
read      257.2   132.8    80.4   125.6   136.7   237.8   297.2   324.6   343.5   366.0   394.7   441.3   563.5  1384.2  3142.8  61833.4    61848
read      240.7   113.3    80.4   125.5   137.2   215.7   269.1   300.6   321.9   345.9   374.4   417.7   512.9   954.6  2850.4 101777.5   101968
read      252.3   170.4    80.4   126.0   138.2   218.2   271.0   302.8   325.1   351.2   384.7   439.3   735.0  2216.7  5454.0 108642.4   108767
read      241.1   156.2    74.4   122.8   134.0   212.1   265.1   296.2   317.6   341.9   371.3   416.8   563.1  1953.6  4998.1  97279.8    97139
read      278.1   205.2    80.4   146.2   163.6   252.1   293.6   317.7   336.3   358.7   389.0   437.7   660.1  3340.9  6468.2 158478.1   158594
read      256.8   168.8    80.4   135.6   150.1   231.6   275.0   301.1   320.2   344.2   375.4   427.5   592.7  2496.7  5524.8 141190.2   141240
read      275.5   162.8    80.4   127.2   139.7   257.8   312.5   340.6   360.4   382.8   411.0   457.8   666.4  2090.0  4498.3  41412.6    41405
read      287.0   214.7    80.4   124.4   136.5   256.6   321.1   356.4   380.1   405.2   436.6   488.5   891.1  3012.8  5361.4  57969.2    57997
read      304.2   301.1    80.4   136.2   151.6   244.5   293.5   322.3   344.7   373.0   416.6   546.0  1567.5  3563.2  7785.8 133703.0   133577
read      243.4   149.1    86.8   126.0   137.0   232.5   282.5   305.8   320.5   338.0   359.1   390.7   462.1   740.8  4841.3  53823.1    53832
read      250.3   139.8    80.4   135.3   149.6   228.4   271.2   296.8   316.2   339.3   368.9   414.2   531.0  1837.8  5155.6 139668.4   139832
read      298.3   165.4    80.4   161.6   182.3   280.2   320.5   344.1   362.4   384.3   414.5   466.8   644.1  2430.1  6252.1 170213.1   170515
read      241.6   132.1    74.4   129.7   142.5   218.6   263.4   290.8   310.9   334.6   364.4   407.0   507.7  1415.0  4107.2 128359.1   128494
read      254.4   104.0    86.8   134.6   149.6   247.1   283.6   302.7   315.9   332.2   352.8   386.6   470.8  1287.9  2401.4  20743.5    20789
read      246.7   129.9    80.4   123.0   133.8   227.3   282.3   309.3   327.1   346.7   372.6   415.5   542.1  1593.8  3234.8  63608.0    63647
