Timestamp start: 1746885102686
Timestamp end: 1746886303010

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      233.7    91.0    80.4   143.2   160.3   227.5   250.6   264.4   273.8   287.5   304.7   333.9   400.8  1013.6  3193.0   8112.9     8195
read      302.1   171.3    80.4   152.0   170.3   268.9   318.8   350.9   375.9   408.5   456.2   542.0   841.5  2125.2  3728.1 158316.8   158594
read      327.8   194.8    80.4   157.5   177.6   285.7   341.8   379.0   409.0   449.7   507.6   618.2  1029.1  2185.8  4302.8 149920.1   149766
read      243.4   115.5    93.8   144.9   162.3   234.1   260.8   275.9   288.7   303.4   322.3   358.9   453.1  1075.2  5105.2  10392.4    10382
read      524.1   616.0    80.4   183.5   207.5   315.4   394.4   467.0   552.3   756.9  1205.4  1589.4  3348.7  5484.0  8029.5 170723.4   170548
read      548.4   597.3    80.4   199.1   223.6   350.5   457.5   555.8   657.5   820.1  1094.6  1573.8  3241.4  6888.2  8127.2 150620.0   150565
read      514.9   531.3    86.8   200.6   225.2   353.5   449.8   529.4   602.1   713.6   916.0  1393.1  3087.4  5397.3  8030.4 137071.2   137144
read      406.7   334.9    86.8   208.0   232.4   344.9   406.8   448.9   481.9   525.0   586.2   706.1  1517.7  4815.1  8041.2 143650.0   143496
read      359.3   212.9    80.4   198.4   221.8   325.4   376.6   408.5   433.7   465.9   510.4   592.6   868.2  3150.6  7192.3 144865.8   144743
read      321.8   197.5    86.8   165.5   188.1   292.5   339.1   368.6   392.2   422.6   465.6   545.7   817.8  2666.8  7204.1 116807.5   116745
read      301.2   211.2    86.8   147.8   165.4   266.2   315.9   346.5   371.5   402.8   449.8   536.6   860.1  3071.2  6685.5 129261.9   129314
read      283.1   157.1    80.4   144.4   161.1   253.8   302.8   332.8   356.1   385.6   426.9   501.9   743.4  1733.3  4506.3 144631.6   144723
read      274.2   168.2    80.4   133.5   147.7   238.7   294.7   327.7   352.5   383.1   424.9   501.7   789.3  1929.9  4222.1 117293.9   117379
read      273.2   188.3    80.4   133.2   147.2   236.4   291.6   323.8   348.2   378.4   420.3   496.4   782.9  2375.1  6830.8 119957.5   119931
read      295.1   283.7    80.4   139.4   154.7   250.1   302.0   333.4   357.4   388.0   430.7   509.6  1017.4  4081.9  7756.9 131968.9   132052
read      274.5   173.3    80.4   141.2   156.5   245.4   294.2   323.9   346.6   375.5   416.2   485.5   675.6  1797.6  6146.3 143222.0   143350
