Timestamp start: 1746632986569
Timestamp end: 1746634186812

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      181.3    73.7    74.4   120.6   133.8   178.8   193.6   201.4   208.1   215.2   225.1   239.4   273.4   961.7  3043.5   8219.8     8195
read      237.9   210.2    63.8   117.7   131.1   207.4   248.0   272.3   290.9   313.6   344.3   399.7   636.1  3219.0  7406.0 158374.2   158594
read      218.8   213.3    63.8   112.4   124.4   194.0   231.8   255.1   272.7   293.7   320.5   366.4   501.3  2352.5  4959.4 149857.1   149766
read      224.7   387.1    74.4   113.9   126.9   181.8   200.7   212.2   220.1   230.5   244.8   272.2  1464.9  5703.3  8049.5  10362.6    10382
read      313.2   254.9    68.9   132.5   150.2   261.4   318.0   357.7   390.8   433.2   490.7   583.3  1467.3  3007.1  6362.3 170516.4   170548
read      215.3   130.6    63.8   113.4   125.6   193.7   231.1   254.2   271.8   292.8   319.5   364.2   479.9  1795.8  3719.5 150653.8   150565
read      212.5   166.1    68.9   109.1   119.5   186.2   225.7   250.2   268.7   290.5   317.8   361.8   480.6  2357.2  6388.3 137091.2   137144
read      231.5   237.2    63.8   111.2   122.7   194.7   236.2   262.8   282.0   305.2   336.4   392.3   900.8  3308.9  7529.8 143523.6   143496
read      205.7   113.2    63.8   110.0   120.5   185.1   222.2   245.6   263.6   284.8   311.6   351.8   445.0  1486.6  3457.1 144590.2   144743
read      201.3   108.7    63.8   104.5   114.1   178.7   219.9   246.5   266.1   288.2   314.6   353.7   436.6  1158.0  3215.1 116871.9   116745
read      200.9   111.3    63.8   105.9   115.8   179.5   218.0   242.9   261.9   283.5   310.0   348.4   431.8  1238.4  3305.3 129106.8   129314
read      208.9   146.2    63.8   109.5   120.2   186.6   224.8   248.2   265.9   286.6   312.7   353.3   451.8  2549.5  5032.1 144785.1   144723
read      202.9   114.8    63.8   104.5   114.1   179.7   220.7   246.9   266.3   288.4   314.9   354.8   450.6  1433.3  3325.7 117611.8   117379
