#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      175.3   125.3    74.4   108.3   117.1   158.8   171.8   179.8   185.1   193.1   203.6   226.8  1038.4  1368.2  1943.0   4975.8     5000  1745596335522  1745596340541
read      173.0    89.2    74.4   110.8   122.0   164.6   178.4   186.1   193.0   200.7   213.6   233.0   302.1  1093.0  2378.1   9949.4    10000  1745596342055  1745596347072
read      179.5    97.2    68.9   107.5   119.4   174.1   190.6   200.7   208.9   217.7   230.2   248.9   292.4  1092.7  4540.7  15110.4    15000  1745596348585  1745596353598
read      180.2    64.2    68.9   106.1   116.9   178.2   196.6   207.5   215.6   225.1   235.6   253.3   291.8  1025.8  2113.3  20121.6    20000  1745596355110  1745596360124
read      183.5    89.7    68.9   104.0   114.4   181.1   202.5   214.9   223.5   232.8   245.7   264.8   304.9   527.4  2620.2  24940.0    25000  1745596361636  1745596366650
read      183.2    68.7    68.9   102.2   112.0   181.6   205.2   218.2   227.5   237.1   250.7   269.8   310.2   400.5  1527.1  30000.2    30000  1745596368162  1745596373175
read      187.7    76.2    63.8   101.6   111.0   185.7   213.1   226.7   235.4   246.9   260.3   279.6   323.6   442.4  2700.5  35000.6    35000  1745596374690  1745596379703
read      193.2    67.4    63.8   101.6   111.2   191.0   223.1   237.6   247.9   259.3   272.8   294.5   342.6   461.6  1811.1  39999.2    40000  1745596381214  1745596386228
read      189.1    62.1    63.8    99.4   108.8   186.8   220.2   235.0   245.4   256.2   270.2   291.0   334.0   405.1   806.8  44890.5    45000  1745596387740  1745596392754
read      192.6    93.6    63.8    98.2   107.5   187.8   225.2   241.7   252.5   265.1   279.7   301.6   346.2   460.9  3252.6  49842.2    50000  1745596394266  1745596399280
read      193.9    81.1    63.8    98.5   107.9   187.8   228.1   245.7   257.3   269.9   285.7   308.9   357.1   455.3  1013.3  54745.8    55000  1745596400791  1745596405805
read      193.1    75.1    63.8    97.3   106.5   184.8   228.3   247.5   259.8   272.5   289.0   312.5   360.6   440.9   981.5  59965.8    60000  1745596407316  1745596412330
read      197.3    90.9    63.8    96.6   105.8   186.6   233.5   254.3   267.2   281.3   297.1   321.8   379.3   590.6  2962.9  65076.2    65000  1745596413842  1745596418855
read      199.8    87.6    63.8    96.8   105.8   187.3   238.0   259.9   273.2   288.3   306.3   333.0   390.5   525.4  2319.0  69737.6    70000  1745596420367  1745596425381
