#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      183.9   122.7    74.4   110.0   119.8   168.7   182.5   190.3   197.3   206.1   221.1   245.8   988.1  1204.3  2118.3   4999.8     5000  1745598174316  1745598179334
read      185.0    89.8    74.4   111.7   124.4   177.8   192.3   201.3   209.3   218.0   230.7   250.1   316.6  1079.3  3317.7  10014.4    10000  1745598180846  1745598185862
read      197.6    77.6    68.9   114.7   129.2   191.7   217.3   229.4   237.1   247.3   259.1   276.1   325.8  1064.8  2322.2  15043.4    15000  1745598187373  1745598192387
read      197.2    67.5    68.9   111.2   124.0   194.6   218.8   230.9   239.3   249.6   262.7   281.9   321.7  1003.4  1538.8  19914.0    20000  1745598193901  1745598198915
read      197.2    63.8    68.9   106.8   117.7   197.0   221.2   233.4   242.6   252.6   266.1   285.8   330.5   876.4  1845.6  24927.6    25000  1745598200427  1745598205441
read      197.2    62.4    68.9   105.0   115.4   197.2   225.0   238.0   247.7   258.2   271.4   292.2   339.2   471.5  1182.5  30135.4    30000  1745598206953  1745598211967
read      200.9    72.0    63.8   103.7   113.7   202.1   232.1   246.7   256.3   267.7   281.3   301.2   346.2   496.3  1325.7  35069.0    35000  1745598213479  1745598218493
read      198.9    72.6    68.9   101.7   111.4   198.0   230.9   246.3   256.6   268.6   283.3   305.3   355.5   507.9  1287.0  39866.0    40000  1745598220005  1745598225019
read      198.4    72.1    63.8   100.4   109.9   197.3   232.8   249.2   260.1   271.7   286.9   308.9   354.9   450.5  1168.1  44927.0    45000  1745598226530  1745598231544
read      199.8    88.0    63.8   100.3   109.5   196.4   235.4   252.6   264.1   276.0   291.8   314.5   363.2   464.1  2323.3  49930.8    50000  1745598233056  1745598238069
read      203.8    91.1    63.8    99.8   109.5   198.3   241.9   260.7   272.5   286.3   302.2   326.4   384.8   519.1  2143.7  54875.0    55000  1745598239582  1745598244595
read      201.8    79.3    63.8   100.1   109.6   192.4   239.9   260.4   273.2   287.6   304.6   329.2   379.8   471.9   927.2  59864.4    60000  1745598246107  1745598251120
read      201.1    92.3    63.8    97.9   107.2   188.9   239.0   260.6   273.9   288.8   306.5   332.8   387.2   565.2  3539.5  64854.6    65000  1745598252632  1745598257646
read      204.4    89.0    63.8    98.0   107.4   190.6   245.2   268.4   282.9   297.9   316.1   342.6   398.9   504.2  1903.9  70195.8    70000  1745598259158  1745598264171
read      200.9    84.8    63.8    97.8   106.9   184.2   238.3   263.1   278.3   294.3   313.7   341.2   399.2   520.2  2238.2  75004.0    75000  1745598265685  1745598270699
read      204.2    91.0    63.8    98.3   107.5   185.5   241.8   268.0   284.4   301.7   321.4   352.4   414.5   537.1  2040.3  79873.2    80000  1745598272213  1745598277227
read      200.0    96.5    63.8    97.2   106.2   180.6   234.7   261.3   277.5   294.3   314.5   343.3   404.0   616.3  2384.4  84820.0    85000  1745598278740  1745598283753
