#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      176.1   121.2    74.4   110.3   119.3   157.3   172.6   184.2   192.9   202.3   214.7   233.1  1038.9  1162.8  1685.5   4938.4     5000  1745589218862  1745589223879
read      173.9    85.9    74.4   112.1   122.5   165.2   180.5   189.5   197.0   205.4   216.7   233.8   277.3  1092.0  2145.0  10033.6    10000  1745589225391  1745589230407
read      176.4    71.3    68.9   110.2   121.0   172.3   190.1   199.8   207.3   215.8   226.9   242.6   274.4  1066.5  1248.5  14946.4    15000  1745589231918  1745589236931
read      185.0    64.3    68.9   108.8   119.2   183.0   204.6   215.9   224.0   232.7   244.5   261.1   294.4  1058.3  2095.4  19940.8    20000  1745589238443  1745589243456
read      189.0    60.9    68.9   106.6   117.0   187.8   214.8   227.6   235.6   246.4   258.5   274.6   311.3   392.0  1150.7  24857.0    25000  1745589244967  1745589249981
read      190.8    74.6    63.8   104.5   114.5   190.1   217.8   230.7   239.6   250.0   262.7   279.8   314.9   485.4  2366.9  30103.0    30000  1745589251492  1745589256506
read      192.7    61.0    68.9   104.0   113.6   193.9   223.2   236.0   245.8   255.9   269.2   288.3   321.4   373.7  1077.6  35038.8    35000  1745589258017  1745589263031
read      198.6    78.5    63.8   103.0   112.8   199.6   232.5   247.4   257.3   268.3   281.4   299.5   339.1   452.5  2321.7  39954.5    40000  1745589264542  1745589269555
read      198.2    75.6    63.8   101.9   111.5   197.4   233.9   250.0   260.7   272.1   286.6   306.8   344.2   416.3  2105.1  44974.8    45000  1745589271067  1745589276080
read      197.2    92.1    63.8   101.2   110.7   194.9   233.4   250.0   260.9   272.2   286.9   307.3   345.0   427.5  1356.2  49752.4    50000  1745589277592  1745589282605
read      196.8    82.5    63.8    99.3   108.8   192.9   234.4   252.1   263.7   275.4   290.7   311.9   352.2   423.5   998.9  55185.0    55000  1745589284117  1745589289130
read      197.9    83.7    63.8    98.6   108.1   190.6   236.8   256.2   267.9   280.6   295.1   316.6   359.7   434.8  2284.3  60131.6    60000  1745589290643  1745589295656
read      196.0    88.3    63.8    97.4   106.6   186.9   234.3   254.6   267.3   280.9   296.2   318.2   363.2   438.5  1464.5  64954.0    65000  1745589297168  1745589302181
read      197.9    83.3    63.8    97.8   106.9   186.5   236.6   258.5   271.7   286.1   302.3   324.4   370.0   454.9  2252.9  69887.3    70000  1745589303693  1745589308706
read      195.9    85.7    63.8    96.4   105.2   181.9   234.1   257.4   271.3   286.3   303.4   326.9   372.3   440.8  1080.8  74826.6    75000  1745589310218  1745589315231
read      194.0    86.1    63.8    95.9   104.5   178.2   230.2   254.7   269.5   285.1   302.5   326.2   372.0   443.8  1489.0  80145.6    80000  1745589316743  1745589321756
read      193.8    87.2    63.8    95.4   103.8   176.3   228.8   255.0   270.4   286.7   305.3   330.8   379.5   463.4  2080.4  84915.8    85000  1745589323267  1745589328281
read      193.5    80.6    63.8    95.8   104.3   174.8   227.0   254.0   270.4   287.6   307.3   334.5   389.8   471.3   934.7  90007.9    90000  1745589329794  1745589334808
read      190.4    89.2    63.8    95.6   104.0   170.4   219.4   246.4   264.2   282.6   303.1   331.2   386.5   469.2  2749.9  95030.6    95000  1745589336319  1745589341333
read      191.4    92.5    63.8    95.7   104.0   170.0   219.8   248.5   267.0   286.1   307.3   335.8   392.4   481.0  3519.8  99921.8   100000  1745589342845  1745589347858
read      191.9    95.5    63.8    95.9   104.2   169.9   219.5   248.7   267.8   287.4   309.2   338.5   396.0   496.9  2402.4 104673.6   105000  1745589349371  1745589354385
read      191.5    93.0    63.8    96.0   104.4   169.6   218.0   247.2   266.9   287.3   310.1   340.3   399.5   494.2  1546.4 109886.4   110000  1745589355896  1745589360910
read      191.5    88.6    63.8    96.0   104.5   169.2   216.6   245.7   265.9   287.0   310.6   341.8   401.8   496.5  2339.5 114810.4   115000  1745589362421  1745589367435
read      188.7    79.8    63.8    96.3   104.7   166.8   211.8   240.3   261.1   282.7   306.9   338.8   398.5   470.8   613.9 119853.7   120000  1745589368946  1745589373960
read      188.1    84.4    63.8    96.3   104.8   166.4   209.7   237.5   258.5   280.6   305.4   337.8   396.6   470.4  2232.0 124873.0   125000  1745589375471  1745589380485
read      188.0    88.8    63.8    96.0   104.5   166.1   208.7   236.1   257.4   280.4   306.4   340.4   402.0   489.5  1163.5 130236.8   130000  1745589381997  1745589387010
read      190.7    84.5    63.8    98.6   107.7   169.1   211.2   238.1   259.1   282.0   307.9   341.7   403.0   496.3  1857.1 135025.7   135000  1745589388521  1745589393535
read      187.9    86.6    63.8    98.6   107.6   167.3   206.6   232.7   252.9   275.5   302.0   336.7   398.8   486.0   795.5 139779.2   140000  1745589395046  1745589400060
read      190.3   112.5    63.8    99.2   108.5   168.9   208.6   234.3   254.4   276.9   303.7   338.7   401.7   509.9  3225.4 144816.9   145000  1745589401572  1745589406585
read      189.7    80.1    63.8    99.3   108.7   169.2   209.2   234.5   254.4   276.8   303.7   339.6   405.0   497.3  1140.0 149903.9   150000  1745589408097  1745589413111
read      190.3    85.2    63.8   100.7   110.4   170.1   208.4   233.2   252.6   274.8   301.5   338.0   403.6   527.3  2073.5 155301.5   155000  1745589414622  1745589419636
read      191.2    78.1    63.8   102.8   112.5   172.3   209.2   232.7   251.5   273.1   299.8   337.2   404.3   499.5  1334.2 160125.5   160000  1745589421147  1745589426161
read      196.5    80.3    63.8   104.9   115.3   178.3   215.9   240.0   258.6   280.0   306.4   342.6   411.3   507.4  1062.4 164919.9   165000  1745589427673  1745589432686
read      201.8    94.8    63.8   106.1   116.6   180.2   219.8   245.8   265.5   288.5   316.5   360.0   456.9   614.6  2590.8 170164.7   170000  1745589434198  1745589439212
read      267.2   130.0    63.8   116.7   131.4   237.3   303.9   342.1   370.8   404.6   449.9   513.5   632.6   790.0  1435.2 174738.6   175000  1745589440723  1745589445737
read      213.0    88.9    63.8   111.6   124.1   195.9   235.5   260.5   278.2   299.0   325.1   365.4   447.5   578.9  2038.2 179845.6   180000  1745589447249  1745589452263
read      204.6    92.7    63.8   111.6   123.5   188.6   224.4   246.2   262.7   282.2   307.2   343.5   418.4   578.0  2548.6 185089.0   185000  1745589453775  1745589458788
read      204.3    79.1    63.8   110.9   122.8   189.2   225.4   247.1   263.5   282.6   307.1   343.5   418.4   536.8  1577.4 189906.0   190000  1745589460299  1745589465313
read      218.4    89.9    63.8   117.0   131.1   204.9   242.0   264.0   279.8   298.4   322.6   361.5   436.4   571.5  1857.7 194822.3   195000  1745589466824  1745589471838
read      255.9   103.8    68.9   134.8   151.5   238.7   283.7   310.3   330.2   354.0   384.8   430.4   519.4   646.5  1866.2 199674.9   200000  1745589473349  1745589478363
read      247.8   100.6    63.8   128.9   144.9   230.8   274.1   299.4   318.1   341.2   371.5   421.9   533.2   688.0  1493.9 201159.2   205000  1745589479874  1745589484888
read      250.6    99.7    63.8   132.3   149.9   238.4   279.2   302.4   319.0   339.8   366.3   405.0   489.8   635.7  2071.0 209060.2   210000  1745589486401  1745589491415
read      270.7   115.9    68.9   134.3   153.1   246.4   292.6   325.1   352.7   387.7   430.4   489.0   589.1   726.1  2313.3 207031.2   215000  1745589492926  1745589497940
read      263.1   121.1    68.9   128.5   144.3   232.9   291.5   331.3   360.4   392.4   429.5   480.0   573.9   688.6  1953.6 203770.6   220000  1745589499451  1745589504465
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 50.50%,0.00%,100.00%
