#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      190.0   146.1    59.1   103.4   115.5   163.9   181.7   194.7   206.3   219.6   234.5   259.9  1066.9  1148.5  1470.1   4974.0     5000 2317427899351266406  1745588407019
read      178.7    88.3    59.1   108.5   121.3   168.1   185.9   197.9   206.6   216.6   229.6   249.7   315.9  1090.1  1175.7  10036.6    10000 2317427899351266406  1745588413538
read      183.8    71.2    54.7   108.4   120.9   177.0   199.8   213.0   222.0   231.8   244.9   264.7   305.7  1071.3  1173.8  15004.0    15000 2317427899351266406  1745588420056
read      190.4    82.6    59.1   105.9   118.0   187.1   212.2   224.5   232.6   242.7   254.5   273.6   315.9  1052.2  2415.7  19896.6    20000 2317427899351266406  1745588426576
read      194.2    73.6    63.8   104.4   115.6   193.8   221.2   233.8   243.3   253.4   267.3   287.1   326.6   524.2  2064.5  24980.2    25000 2317427899351266406  1745588433093
read      200.1    75.6    59.1   102.9   113.6   201.3   230.6   245.1   254.8   266.9   280.9   300.9   343.7   678.3  2439.4  29981.2    30000 2317427899351266406  1745588439612
read      204.1    79.1    54.7   102.0   112.5   206.2   238.3   254.0   264.7   275.4   290.8   312.6   357.0   434.3  2338.7  34954.6    35000 2317427899351266406  1745588446129
read      208.5    73.0    54.7   101.6   111.8   212.1   247.2   263.9   274.5   287.6   302.7   324.3   369.9   429.6   830.4  40000.8    40000 2317427899351266406  1745588452646
read      207.7    87.4    59.1   101.0   110.9   207.7   246.8   264.7   276.0   289.4   305.4   328.8   374.9   458.2  2321.4  44966.8    45000 2317427899351266406  1745588459163
read      211.3    87.4    59.1    99.9   110.3   209.6   252.2   271.6   284.6   298.3   316.1   342.0   395.3   467.5  1865.7  49786.4    50000 2317427899351266406  1745588465680
read      211.5    88.9    54.7    99.1   109.2   207.3   253.0   273.8   287.8   302.9   320.2   346.2   400.1   491.8  2309.6  54784.6    55000 2317427899351266406  1745588472198
