#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      171.3   130.9    74.4   109.0   118.2   154.9   167.3   173.8   180.5   187.1   200.5   222.6  1046.2  1200.8  4940.5   4992.8     5000  1745588915927  1745588920943
read      178.5    89.3    68.9   112.5   123.1   168.1   185.6   197.4   205.8   215.1   226.9   244.5   297.2  1097.9  2126.5  10095.4    10000  1745588922455  1745588927471
read      180.7    65.9    68.9   111.7   122.9   176.2   194.1   204.5   212.6   221.5   232.6   250.2   287.0  1078.1  2229.2  14984.6    15000  1745588928982  1745588933995
read      183.6    85.1    68.9   109.9   120.4   180.3   201.1   213.1   221.2   230.5   242.2   259.7   294.9  1035.5  1933.8  20096.4    20000  1745588935506  1745588940519
read      191.1    67.5    68.9   107.5   118.1   188.5   215.8   228.8   237.1   247.8   260.2   277.4   314.8   447.3  2288.2  24926.6    25000  1745588942030  1745588947044
read      189.3    59.1    68.9   103.8   113.9   187.7   216.6   230.1   239.2   250.1   263.4   281.8   317.1   377.9  1074.4  30044.6    30000  1745588948554  1745588953568
read      193.9    67.0    68.9   104.2   114.1   192.8   224.9   238.8   248.6   259.4   271.9   291.4   327.2   394.8  1556.5  35075.6    35000  1745588955078  1745588960092
read      193.8    64.2    63.8   102.2   111.9   193.2   225.9   240.6   250.8   262.3   274.9   294.7   333.7   396.6  1096.7  40274.8    40000  1745588961603  1745588966616
read      193.5    67.7    63.8   101.7   111.1   190.1   226.6   242.7   253.5   265.8   279.9   299.9   339.5   395.2   758.5  45038.2    45000  1745588968127  1745588973140
read      196.9    82.4    63.8   100.1   109.7   192.8   232.4   249.3   260.5   272.2   287.3   308.4   346.0   435.1  2492.6  50165.2    50000  1745588974651  1745588979664
read      194.9    74.8    63.8    98.6   108.1   188.2   231.0   249.5   261.6   274.0   289.7   311.2   350.4   426.0  1441.3  55052.8    55000  1745588981175  1745588986188
read      198.6    74.0    63.8    98.9   108.4   191.1   238.0   257.6   269.9   283.3   297.9   319.5   361.8   419.3  1095.9  60110.4    60000  1745588987700  1745588992713
read      196.2    87.6    63.8    97.4   106.4   184.3   233.3   254.9   268.1   282.2   297.6   320.1   367.3   465.8  2293.4  64808.2    65000  1745588994224  1745588999238
read      200.1    96.3    63.8    97.9   107.1   185.9   238.6   261.7   275.5   290.4   307.6   331.3   376.7   470.4  2703.9  70245.8    70000  1745589000749  1745589005762
read      197.0    82.6    63.8    97.4   106.3   180.8   234.6   258.8   273.3   289.0   307.1   331.9   378.4   449.2  1449.9  75110.1    75000  1745589007273  1745589012286
read      193.0    87.8    63.8    95.8   104.3   175.7   228.1   253.2   268.3   284.2   302.0   326.3   372.7   438.2  2131.1  79898.0    80000  1745589013797  1745589018810
read      193.3    81.3    63.8    96.2   104.6   173.9   226.7   253.5   270.0   287.1   306.4   332.4   382.3   459.7  1540.2  85120.6    85000  1745589020321  1745589025335
read      197.5    87.8    63.8    95.7   104.1   176.7   233.2   261.9   278.9   296.2   316.2   343.0   397.5   480.0  2324.7  89928.6    90000  1745589026847  1745589031860
read      195.2   105.2    63.8    95.6   103.9   173.0   227.1   256.5   274.2   292.5   313.0   340.6   395.3   480.0  3395.0  94961.0    95000  1745589033371  1745589038385
read      191.5    87.4    63.8    95.6   104.0   170.1   219.5   248.8   267.6   286.9   308.2   336.7   391.5   471.7  2388.0 100015.7   100000  1745589039896  1745589044909
read      189.2    81.9    63.8    94.4   102.5   167.7   216.5   246.0   265.6   285.6   307.6   336.2   390.5   462.9  1013.0 104936.2   105000  1745589046420  1745589051434
read      191.9    88.8    63.8    96.3   104.6   169.0   217.7   247.5   267.6   288.5   311.4   341.7   402.6   509.3  2613.3 109959.6   110000  1745589052946  1745589057961
read      190.4    81.9    63.8    96.1   104.5   167.9   215.0   244.3   264.9   286.4   310.5   341.6   401.5   486.0   903.5 114858.8   115000  1745589059472  1745589064485
read      190.0    99.5    63.8    95.7   104.1   167.3   213.5   242.5   263.7   285.8   310.1   341.7   401.8   490.1  1378.5 120149.9   120000  1745589065996  1745589071010
read      189.4    93.5    63.8    96.8   105.4   166.6   210.2   238.3   259.7   282.1   307.3   340.1   400.9   503.1  2655.4 124955.8   125000  1745589072521  1745589077534
read      189.0    79.7    63.8    97.5   106.4   167.4   209.5   236.7   258.1   280.9   306.7   340.2   402.0   492.7   671.0 129859.4   130000  1745589079045  1745589084058
read      187.4    88.3    63.8    96.9   105.6   165.9   206.8   233.6   254.3   277.1   303.2   337.4   399.4   489.7  2386.5 135137.8   135000  1745589085570  1745589090583
read      191.8    86.3    63.8    99.3   108.7   169.8   211.9   238.8   259.4   282.1   308.4   343.2   413.7   533.1  1700.1 140139.3   140000  1745589092094  1745589097109
read      189.9    87.3    63.8    99.3   108.6   168.9   208.8   234.7   255.0   277.9   304.4   339.7   402.9   492.4  2056.2 144909.1   145000  1745589098622  1745589103635
read      188.9    82.6    63.8   100.5   109.9   168.8   206.0   230.8   250.2   272.8   299.9   337.0   403.1   505.8  2211.1 150064.8   150000  1745589105146  1745589110160
read      187.4    79.2    63.8    99.7   109.2   167.3   204.7   229.8   249.1   271.9   298.5   334.5   397.5   483.6  1765.6 154893.6   155000  1745589111671  1745589116684
read      188.8    82.8    59.1   101.9   111.4   169.6   205.5   229.6   248.2   270.4   296.9   334.7   401.4   489.5  1118.7 159922.2   160000  1745589118196  1745589123209
read      189.3    81.9    63.8   100.7   110.5   170.1   207.1   231.0   249.6   271.3   297.3   334.8   402.6   521.1  1774.8 164584.7   165000  1745589124720  1745589129733
read      194.3    82.3    63.8   105.4   115.6   176.2   212.3   235.0   253.2   274.1   300.2   337.6   405.2   515.0  1350.0 169980.9   170000  1745589131244  1745589136257
read      201.6    79.8    63.8   108.5   119.4   184.4   221.8   245.1   262.8   283.5   309.3   345.9   420.2   541.9  1406.9 175015.9   175000  1745589137770  1745589142783
read      214.9   111.2    63.8   109.0   119.9   186.8   230.0   258.9   281.2   308.2   344.3   408.7   550.8   763.3  2520.1 178405.9   180000  1745589144295  1745589149308
read      243.4   110.3    68.9   119.0   134.1   222.3   270.9   299.7   320.6   346.2   380.5   433.4   546.6   732.5  2469.1 184519.5   185000  1745589150819  1745589155832
read      225.0    92.9    63.8   117.4   131.2   208.3   249.8   274.0   292.3   313.8   341.4   384.6   472.4   610.4  1168.5 189907.6   190000  1745589157343  1745589162356
read      225.5   111.1    63.8   117.5   131.9   210.6   250.3   273.4   290.5   310.6   336.5   375.1   463.1   648.6  4137.6 194705.3   195000  1745589163867  1745589168881
read      280.2   151.4    63.8   118.6   133.5   237.1   312.9   360.0   396.0   439.3   494.6   572.8   721.4   898.0  2239.4 181886.4   200000  1745589170394  1745589175408
read      261.7   105.7    63.8   131.4   148.5   243.4   293.4   322.3   343.9   369.5   401.3   449.9   542.5   686.2  1674.8 202082.3   205000  1745589176919  1745589181933
read      269.1   118.4    68.9   133.8   150.6   246.8   299.5   330.8   353.7   380.8   416.0   470.6   601.6   801.8  2444.8 201291.3   210000  1745589183444  1745589188457
read      270.4   120.5    68.9   129.2   146.1   250.2   306.4   338.5   362.2   389.8   424.3   473.5   571.2   692.7  2601.7 203344.9   215000  1745589189968  1745589194981
read      276.0   121.2    63.8   134.2   151.5   249.4   305.1   340.6   368.7   401.4   442.3   501.5   609.1   759.4  1882.0 201023.4   220000  1745589196493  1745589201506
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 68.83%,6.50%,100.00%
