#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      178.1   148.5    63.8    92.6   104.9   155.5   169.4   177.5   183.6   191.6   202.7   234.5  1010.7  1096.9  1725.5   4963.2     5000 2317427899351266406  1745597370664
read      171.4    95.6    63.8   102.6   116.8   161.4   175.4   183.7   189.8   198.4   210.8   231.8   894.8  1074.4  1158.8  10025.0    10000 2317427899351266406  1745597377182
read      181.6    76.9    59.1   103.6   117.0   176.1   193.6   204.6   214.0   225.0   238.0   259.7   314.3  1058.9  2137.6  14966.0    15000 2317427899351266406  1745597383700
read      192.0   192.3    68.9   105.3   117.6   185.2   211.4   225.7   234.8   246.5   260.2   279.8   321.2   965.9  2287.0  20054.4    20000 2317427899351266406  1745597390219
read      199.9    87.9    59.1   102.9   114.2   195.6   227.2   241.9   252.0   263.8   277.0   297.3   345.5   819.2  3126.7  24881.4    25000 2317427899351266406  1745597396737
read      201.5    68.1    59.1   101.8   112.5   196.7   233.0   250.1   261.5   273.7   289.9   313.4   360.6   446.9  1086.5  30090.6    30000 2317427899351266406  1745597403254
read      206.7    86.5    59.1   101.1   111.4   202.8   241.4   258.8   270.3   283.5   298.7   322.4   372.8   536.4  2551.8  35034.2    35000 2317427899351266406  1745597409772
read      210.3    94.2    63.8   101.1   111.7   204.9   246.5   265.3   277.6   292.0   310.3   338.0   395.7   510.1  2443.4  39863.2    40000 2317427899351266406  1745597416289
read      211.3    83.6    63.8   100.2   110.9   204.7   249.5   269.7   283.3   297.9   317.4   344.8   402.0   499.3  1172.3  45099.2    45000 2317427899351266406  1745597422807
read      216.1    94.7    59.1    99.7   110.3   208.8   256.2   277.3   291.6   308.6   329.6   360.4   422.2   589.0  2758.9  50020.4    50000 2317427899351266406  1745597429324
read      215.7    96.5    63.8    98.0   108.6   206.3   256.6   279.4   294.6   312.1   333.2   364.1   428.4   574.1  1645.8  55105.8    55000 2317427899351266406  1745597435842
read      213.3    91.7    63.8    97.6   107.8   201.2   254.4   278.1   293.5   311.1   332.5   363.1   425.6   520.2  2068.5  59896.5    60000 2317427899351266406  1745597442359
read      220.4   104.3    59.1    98.0   108.6   206.2   261.3   287.2   304.8   324.7   348.6   383.9   453.0   593.8  2505.9  65134.5    65000 2317427899351266406  1745597448876
read      220.4   106.2    59.1    97.4   108.0   204.0   261.3   288.1   306.3   326.8   351.8   388.2   459.2   583.2  2926.0  69858.3    70000 2317427899351266406  1745597455396
read      216.7    98.1    63.8    96.4   106.7   200.1   256.6   283.6   302.0   322.5   346.9   383.5   456.1   576.5  1525.3  75058.8    75000 2317427899351266406  1745597461913
read      218.7   107.2    63.8    96.5   106.9   201.4   257.5   285.4   304.3   325.5   350.7   389.1   464.6   636.1  1745.0  80189.4    80000 2317427899351266406  1745597468434
read      217.1   102.1    54.7    96.7   107.0   197.2   254.6   284.1   304.2   326.6   353.1   391.5   465.1   589.8  1453.1  85141.4    85000 2317427899351266406  1745597474952
read      212.0   100.4    54.7    95.3   105.3   192.3   247.2   275.9   295.5   317.4   344.2   382.8   455.3   562.5  2429.6  89874.8    90000 2317427899351266406  1745597481471
read      216.2    98.7    63.8    96.5   107.0   195.3   251.5   281.6   302.3   325.7   354.4   395.1   471.3   591.6  1200.7  94918.4    95000 2317427899351266406  1745597487990
read      222.1   102.4    59.1    98.0   109.4   203.1   257.3   287.0   308.0   332.0   361.5   403.2   489.0   625.2  1885.2 100094.8   100000 2317427899351266406  1745597494508
read      224.1   119.5    59.1    98.5   110.3   203.9   258.0   287.8   309.1   334.0   364.6   407.7   496.4   718.8  2729.3 105219.2   105000 2317427899351266406  1745597501027
read      225.5   105.8    63.8   101.0   113.0   205.0   259.2   289.6   311.4   336.3   366.5   410.4   493.9   636.7  2455.2 110217.0   110000 2317427899351266406  1745597507545
read      223.6    98.9    59.1   101.8   114.0   204.8   257.0   286.1   306.9   330.7   359.8   401.2   481.7   621.6  1424.4 115055.0   115000 2317427899351266406  1745597514064
read      229.9   109.5    63.8   104.4   117.2   208.7   262.7   293.1   315.0   339.7   370.0   415.8   506.0   722.1  2705.6 120039.4   120000 2317427899351266406  1745597520582
read      309.5   183.5    63.8   109.2   125.4   268.9   358.5   402.3   430.4   462.3   509.6   725.4   908.1  1028.7  1689.0 123967.4   125000 2317427899351266406  1745597527101
read      244.0   107.9    63.8   111.0   126.5   226.1   279.1   308.7   329.7   354.3   385.6   432.2   533.1   687.3  1642.7 130006.1   130000 2317427899351266406  1745597533619
read      269.5   132.0    59.1   120.0   138.9   249.2   303.5   334.2   356.7   384.3   422.1   486.2   634.3   801.0  4216.5 135061.4   135000 2317427899351266406  1745597540139
read      356.0   170.6    63.8   147.0   173.6   334.2   398.1   429.1   453.2   485.9   552.5   735.4   869.2  1003.2  1697.1 136080.5   140000 2317427899351266406  1745597546659
read      490.4   184.3    86.8   300.4   326.2   425.1   486.7   605.6   677.5   729.0   779.1   838.9   930.6  1117.0  2459.6 131351.9   145000 2317427899351266406  1745597553176
read      478.0   179.4    80.4   292.8   321.5   411.6   468.1   597.0   668.3   716.6   759.3   805.5   888.9  1096.1  3820.6 134644.1   150000 2317427899351266406  1745597559694
read      501.4   184.4    80.4   301.5   328.7   443.6   509.3   596.5   670.7   727.9   788.3   866.7   987.6  1140.6  2842.6 128898.0   155000 2317427899351266406  1745597566213
read      460.6   171.6    80.4   280.2   306.0   395.3   463.1   588.4   645.9   687.3   726.7   775.5   858.2  1015.5  3074.0 139929.2   160000 2317427899351266406  1745597572732
read      423.7   165.1    74.4   242.2   270.2   371.7   454.9   531.5   576.6   617.9   659.4   709.7   797.1   958.6  4175.5 151591.0   165000 2317427899351266406  1745597579249
read      454.4   177.9    80.4   275.7   301.9   388.9   458.5   583.7   641.9   679.8   717.3   759.6   841.9  1005.5  3678.1 141925.8   170000 2317427899351266406  1745597585769
read      467.0   173.5    80.4   280.4   305.5   403.6   482.8   584.7   642.8   685.6   730.8   793.4   914.1  1092.0  2223.1 138285.6   175000 2317427899351266406  1745597592288
read      454.0   169.7    93.8   275.7   300.6   390.5   462.7   581.9   635.4   675.0   714.2   758.9   842.0   982.7  2830.0 142279.5   180000 2317427899351266406  1745597598806
read      443.2   161.8    68.9   271.6   295.3   374.1   456.5   585.1   628.1   661.9   692.8   734.8   806.5   970.1  2584.3 145651.2   185000 2317427899351266406  1745597605323
read      491.3   178.3    74.4   302.8   330.8   426.4   479.7   592.0   681.4   737.2   783.1   836.2   922.1  1090.9  3118.4 131500.4   190000 2317427899351266406  1745597611841
read      490.1   191.5    80.4   301.7   328.7   425.4   477.4   586.8   677.7   733.2   780.4   834.7   923.8  1194.0  4538.8 131936.7   195000 2317427899351266406  1745597618358
