Timestamp start: 1746893435855
Timestamp end: 1746894436178

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      267.1   170.0    80.4   132.8   147.4   241.9   294.5   324.4   346.4   373.3   408.7   467.0   613.9  1336.1  7852.9 106445.6   106356
read      370.1   164.3    86.8   188.1   212.6   333.4   404.4   449.9   483.1   523.1   575.7   657.7   844.3  1262.1  3122.7 179037.4   178750
read      280.8   156.9    80.4   135.1   150.5   251.0   306.0   338.6   363.7   394.9   437.8   515.3   732.0  1482.5  3454.8 105997.4   105831
read      277.5   171.2    80.4   133.2   147.7   241.3   296.3   328.9   353.7   384.7   428.8   517.0   861.0  1866.1  4353.1 110542.8   110667
read      255.2   253.3    93.8   143.9   162.1   236.9   263.8   279.3   291.5   306.6   327.1   368.7   538.1  3173.7  9234.2   8737.4     8803
read      289.1   211.9    80.4   126.3   139.8   266.7   323.0   352.3   372.7   397.5   430.0   487.4   802.5  2729.3  7406.9  45707.2    45662
read      285.5   181.7    86.8   129.8   143.9   270.3   317.3   341.9   360.1   381.2   408.9   460.7   700.3  2482.1  5802.9  30810.8    30867
read      308.2   280.4    86.8   127.7   141.3   272.0   330.7   362.1   384.1   409.9   445.4   511.7  1219.7  3965.6  7712.7  45462.0    45656
read      414.9   492.4    80.4   137.4   154.2   273.3   346.1   405.4   475.8   605.6   850.2  1254.2  2273.1  6175.3  9118.6 100913.2   100938
read      269.7   184.0    80.4   135.4   150.2   236.3   285.4   315.1   337.7   365.7   403.1   469.8   740.1  2665.4  4660.4 132155.0   132360
read      252.5   223.7    80.4   124.3   135.8   229.2   283.4   310.1   328.4   349.4   377.2   426.1   598.4  1610.3 13331.9  67583.8    67591
read      264.5   129.8    86.8   128.0   140.7   255.0   298.2   321.2   338.6   358.7   384.3   425.9   552.1  1727.7  3130.9  33922.6    33910
read      276.2   267.6    80.4   125.5   137.7   231.5   291.0   323.0   346.3   375.3   417.1   493.7   958.7  4120.3  7839.2  85706.0    85729
read      254.2   114.9    93.8   140.5   157.9   242.8   274.2   292.4   306.0   321.0   344.1   384.3   538.3  1419.3  4044.1  12910.4    12884
read      287.0   218.6    86.8   126.0   139.0   263.7   319.4   348.5   368.6   391.8   421.4   468.8   813.5  3353.1  6996.6  45468.2    45621
read      280.1   189.4    86.8   128.7   141.7   265.4   315.0   340.1   357.8   377.6   402.8   447.1   647.7  2484.2  6816.0  37016.0    36938
read      299.1   239.8    80.4   126.5   139.4   266.9   329.4   363.1   386.5   413.4   448.5   508.2  1076.1  3243.7  7636.2  57036.6    56902
read      313.3   327.3    80.4   129.9   143.3   237.7   296.3   331.4   358.3   394.0   459.4   773.2  1598.5  3983.9  7805.0 102459.6   102243
read      256.4   267.0    86.8   140.2   157.8   241.4   270.5   287.2   299.0   314.9   336.1   370.5   496.8  2515.4 13921.7  14159.0    14085
read      278.2   194.0    80.4   128.0   140.7   234.6   295.3   330.7   357.9   393.0   446.8   551.4   902.1  2302.9  4070.5  94188.2    94103
read      238.9   108.1    80.4   123.8   134.6   226.0   276.1   299.6   315.4   333.6   356.2   391.9   481.1   790.7  4051.7  58263.6    58175
read      273.5   134.0    80.4   141.2   157.2   245.5   293.7   324.0   347.7   378.4   421.6   494.4   666.8  1240.6  3396.6 151148.4   151312
read      237.8   126.3    80.4   123.2   134.3   214.2   267.3   296.1   315.6   337.8   365.5   406.7   515.0  1095.7  4317.9  83361.8    83333
read      299.9   161.6    80.4   151.7   170.1   270.4   321.7   354.1   378.9   410.2   454.8   529.7   720.4  2248.4  3709.0 164924.0   165153
