Random waveform, supplied seed
Total number of intervals = 143 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567)
Average QPS expected = 94260
Timestamp start: 1746384611337
Timestamp end: 1746386411620

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      212.3    70.5    68.9   119.9   136.4   213.1   230.6   240.2   247.7   255.5   268.8   289.4   347.7   978.0  2362.4   8151.8     8195
read      280.7   199.0    80.4   138.0   154.4   247.9   296.6   326.9   349.7   378.3   417.9   486.8   730.4  2774.4  6721.5 158668.2   158594
read      323.7   195.9    74.4   140.1   158.5   281.7   357.8   409.6   449.0   492.3   542.3   613.7   757.8  2419.8  5496.2 149885.6   149766
read      219.3   135.7    68.9   119.7   135.8   213.7   233.5   245.3   253.1   264.4   277.6   303.8   411.0  1965.9  5240.1  10376.0    10382
read      440.5   394.2    86.8   195.3   227.1   354.7   417.8   463.2   501.3   549.5   624.4   988.0  1741.9  5082.4  8871.6 170140.0   170548
read      360.2   255.1    80.4   168.8   194.8   325.8   385.0   423.3   454.3   494.1   546.6   627.0   796.8  4451.2  7657.5 150675.0   150565
read      356.2   262.5    68.9   150.5   174.2   305.4   377.3   426.8   465.5   514.0   579.5   681.4   945.8  3770.9  7340.2 137345.6   137144
read      290.2   174.4    74.4   134.4   151.8   259.7   318.5   355.1   382.4   415.3   459.1   530.1   691.6  2174.4  4365.2 143519.2   143496
read      270.3   174.2    74.4   132.1   148.0   240.3   291.5   322.5   346.0   374.2   411.5   469.9   634.0  2669.7  4166.0 144723.8   144743
read      255.0   209.5    74.4   121.9   134.7   215.9   264.7   293.7   316.3   343.7   379.2   436.6  1179.3  2805.7  5085.2 116692.8   116745
read      241.2   124.9    68.9   124.4   138.0   217.2   262.8   290.8   312.4   338.3   370.8   420.0   541.3  1350.5  3416.9 129138.8   129314
read      337.4   290.0    74.4   136.6   154.3   276.6   346.9   395.1   435.0   488.8   559.9   671.7  1466.6  3486.7  7979.3 144468.6   144723
