Random waveform, supplied seed
Total number of intervals = 100 (5010, 14153, 12847, 122113, 50875, 136546, 70864, 80412, 81017, 88572, 16903, 32183, 118354, 53402, 79848, 46581, 69610, 15777, 16782, 98581, 64481, 91484, 129570, 82613, 139637, 42701, 133754, 45487, 62400, 111669, 54450, 22077, 22434, 71452, 160518, 114530, 15694, 13974, 167456, 166478, 175859, 155574, 141728, 9698, 42127, 106763, 14288, 18590, 36794, 90978, 28093, 148828, 162888, 39870, 157975, 63111, 161128, 36719, 52892, 89792, 46515, 11332, 27809, 101648, 161303, 171571, 27602, 132029, 106872, 108251, 5989, 17799, 42915, 59345, 46647, 130227, 97374, 75119, 21120, 33287, 113947, 5511, 27215, 93839, 170550, 11360, 160718, 145580, 179245, 24001, 156476, 83852, 146425, 23583, 132562, 139377, 56914, 133118, 32044, 61554)
Average QPS expected = 79796
Timestamp start: 1745831161060
Timestamp end: 1745832161367

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      220.9   102.1    80.4   123.8   143.1   218.0   243.3   256.1   265.8   275.6   290.7   313.6   380.1  1015.0  2781.7  13951.9    13974
read      265.0   212.7    68.9   123.1   138.4   225.8   273.0   300.7   320.9   346.4   382.1   443.6  1423.4  2429.5  4662.9 167391.5   167456
read      222.3   124.1    68.9   117.9   130.9   202.8   241.9   265.5   282.5   302.6   328.3   368.4   469.7  1478.6  4502.8 166619.0   166478
read      243.2   125.2    74.4   129.1   144.5   226.5   266.7   289.8   306.9   327.2   354.4   397.3   499.8  1463.4  4487.1 175681.7   175859
read      226.9   133.9    68.9   116.4   129.6   205.6   248.1   273.0   291.5   313.0   340.4   383.9   499.9  1557.9  4753.8 155359.8   155574
read      213.0   140.3    68.9   108.1   118.4   187.0   230.8   258.3   277.7   300.3   327.8   368.5   475.8  1887.1  4677.5 141831.7   141728
read      209.4    86.6    80.4   130.5   149.0   203.2   225.3   236.4   245.7   255.0   268.6   289.3   344.0  1082.9  3853.5   9723.2     9698
read      248.9   130.3    68.9   107.0   117.6   239.7   288.7   314.6   332.8   353.2   378.3   417.1   540.3  1301.5  3302.6  42099.4    42127
read      228.6   172.3    68.9   104.5   114.2   190.4   247.2   279.3   301.6   326.9   360.0   422.2   735.1  2133.2  4414.5 106658.2   106763
read      220.1    96.5    80.4   123.9   142.5   216.3   241.8   254.5   264.1   273.6   288.5   311.1   372.3  1094.7  4366.6  14282.6    14288
read      227.2    92.9    80.4   117.9   133.9   225.3   254.7   269.2   279.2   291.5   307.5   332.6   397.6   978.0  3431.9  18592.0    18590
read      248.5   146.3    74.4   109.1   120.4   241.2   286.6   310.3   326.4   344.1   367.2   400.9   511.4  1376.0  6277.6  36833.7    36794
read      216.9   125.0    68.9   102.4   111.4   188.4   249.8   279.8   299.4   320.4   346.0   388.3   531.7  1322.5  3635.7  90874.9    90978
read      221.3    89.6    74.4   114.9   127.3   223.5   252.8   266.4   274.9   286.5   299.0   320.1   373.0   851.8  2752.1  28109.9    28093
read      212.4   123.6    68.9   109.7   120.6   189.5   231.2   257.3   276.0   297.8   324.7   365.4   462.8  1579.9  3374.1 148770.7   148828
read      223.5   123.6    68.9   117.4   130.4   203.2   243.8   268.1   285.8   306.5   332.7   372.2   471.6  1570.3  3845.3 163014.1   162888
read      223.9    94.4    68.9   111.2   121.6   226.3   263.0   278.9   290.0   302.4   317.6   342.0   400.0   623.2  2980.6  39821.3    39870
read      222.7   137.6    68.9   115.7   128.6   200.5   241.5   266.6   284.7   306.0   332.9   373.0   477.8  1795.9  4411.9 158213.5   157975
read      222.9    97.1    68.9   106.5   116.0   213.3   267.1   289.7   304.6   320.2   340.8   371.0   447.1   660.1  2249.8  63045.8    63111
read      226.9   139.1    74.4   117.7   130.9   204.8   245.9   270.4   288.5   309.6   336.4   377.1   492.7  1787.8  4416.9 161219.4   161128
read      225.4    88.6    74.4   113.4   124.6   229.1   263.3   278.2   288.8   300.2   315.5   339.1   392.4   548.5  2671.9  36728.3    36719
read      227.5   103.3    74.4   109.7   119.3   225.3   271.2   291.0   304.4   318.7   337.7   365.9   431.1   671.3  3011.6  52818.5    52892
read      215.5   117.7    68.9   103.7   112.8   190.6   251.2   280.3   299.1   319.0   342.8   377.1   464.4   941.7  3441.9  89944.5    89792
read      228.8    99.6    74.4   110.9   121.0   230.3   271.3   289.2   301.1   314.7   332.2   359.0   422.8   716.8  2712.2  46447.9    46515
read      212.0    94.6    80.4   127.5   146.0   205.8   229.9   242.3   250.9   261.1   272.9   293.7   348.1  1093.5  3316.7  11366.4    11332
read      239.4   127.5    74.4   113.2   126.0   234.5   272.6   291.8   305.2   319.6   339.3   368.6   450.1  1662.8  3588.0  27866.9    27809
read      226.8   147.1    68.9   104.1   113.6   190.4   250.4   283.7   306.8   333.7   369.2   438.5   645.6  1486.1  3400.1 101692.1   101648
read      224.1   129.2    68.9   117.3   130.4   203.2   243.9   268.4   286.2   307.0   333.4   373.2   479.6  1686.1  3750.4 161171.0   161303
read      239.2   124.4    68.9   127.6   142.3   222.1   262.2   285.3   302.2   321.6   348.0   391.9   497.5  1362.4  3978.1 171614.1   171571
read      226.8    86.9    74.4   118.4   131.3   230.8   259.5   272.2   281.8   292.5   306.9   328.3   378.4   605.7  2654.4  27568.5    27602
read      211.7   123.8    68.9   106.9   117.0   186.3   231.5   260.8   281.0   304.1   331.6   370.7   468.0  1402.4  3618.9 131871.4   132029
