Random waveform, supplied seed
Total number of intervals = 180 (8195, 158594, 149766, 10382, 170548, 150565, 137144, 143496, 144743, 116745, 129314, 144723, 117379, 119931, 132052, 143350, 143518, 172981, 94027, 170019, 179090, 47130, 19439, 128963, 23787, 61848, 101968, 108767, 97139, 158594, 141240, 41405, 57997, 133577, 53832, 139832, 170515, 128494, 20789, 63647, 64802, 55719, 174179, 106356, 178750, 105831, 110667, 8803, 45662, 30867, 45656, 100938, 132360, 67591, 33910, 85729, 12884, 45621, 36938, 56902, 102243, 14085, 94103, 58175, 151312, 83333, 165153, 123975, 28449, 14903, 31189, 40636, 80574, 168820, 162621, 101621, 58592, 153042, 112238, 160265, 57109, 88551, 8385, 34088, 113600, 131842, 112066, 72585, 133669, 11820, 12639, 118548, 165754, 86823, 16898, 123124, 72278, 47757, 60510, 25237, 97783, 118966, 16631, 11743, 115026, 122371, 7198, 25022, 157513, 171975, 154918, 139185, 152724, 20845, 140348, 88725, 134088, 66126, 78214, 55191, 54081, 112478, 179666, 100584, 127920, 6594, 25020, 129587, 10277, 148458, 66114, 49261, 133049, 106628, 23498, 103564, 161774, 39037, 163622, 132405, 131596, 174543, 90567, 116582, 13888, 119224, 156471, 164013, 41909, 128280, 107066, 46119, 10227, 10870, 146664, 19865, 113409, 70623, 52633, 104630, 42594, 95196, 52243, 37031, 39878, 110750, 8231, 63638, 90167, 50555, 15997, 43089, 12188, 76615, 143480, 63793, 71996, 41778, 21860, 45582)
Average QPS expected = 89046
Timestamp start: 1745950796744
Timestamp end: 1745952597067

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      191.2   168.0    74.4   126.5   138.2   177.4   193.1   201.8   209.7   217.8   231.9   258.8   392.1  2344.3  7659.0   8168.1     8195
read      364.8   361.3    63.8   153.1   178.5   309.6   373.0   414.0   446.0   486.4   540.4   626.1  1495.6  4657.0  8369.2 158498.2   158594
read      290.7   234.2    68.9   125.3   142.4   250.8   308.8   343.8   371.9   408.0   460.3   547.5   782.5  3450.9  7580.3 150068.9   149766
read      191.5   114.0    74.4   119.0   132.1   179.1   198.6   210.1   218.0   229.9   246.7   273.6   426.3  1601.3  3925.9  10382.6    10382
read      340.5   255.3    68.9   139.6   161.0   287.2   353.4   400.8   441.0   491.3   552.6   642.5  1428.6  3286.0  6646.1 170261.4   170548
read      312.6   237.7    68.9   133.8   153.6   270.2   329.9   369.2   401.5   446.0   508.7   611.8   835.0  3326.3  7683.6 150650.5   150565
read      258.2   226.7    68.9   114.7   128.9   217.7   270.3   301.5   325.2   354.6   395.5   468.6   942.0  3132.0  7090.0 137172.9   137144
read      248.3   165.4    68.9   116.3   130.4   217.5   268.4   298.6   321.5   349.7   389.1   455.4   635.1  2291.1  4346.7 143252.1   143496
read      245.4   156.0    63.8   115.7   129.9   216.5   267.0   296.4   318.9   346.1   384.9   449.2   621.2  1902.9  5663.6 144708.7   144743
read      220.5   140.4    68.9   106.7   117.4   192.1   239.5   269.9   291.8   317.7   350.0   399.6   532.5  1666.0  4299.7 116680.7   116745
read      228.6   142.2    68.9   110.7   122.7   200.8   248.2   277.1   298.8   325.0   358.9   411.6   557.1  1820.3  4159.2 129292.5   129314
read      247.1   151.0    68.9   116.7   131.1   218.7   269.2   299.3   321.8   349.6   388.3   451.8   616.3  1769.7  4332.7 144791.9   144723
read      226.7   141.2    63.8   108.9   120.0   198.3   247.4   277.3   299.4   325.8   359.7   411.7   557.0  1632.0  4272.4 117474.9   117379
read      232.3   156.4    63.8   110.8   122.5   202.4   252.4   283.0   305.6   332.5   366.5   420.5   573.1  2049.3  5339.6 119841.8   119931
read      237.9   148.0    68.9   113.0   126.0   209.1   259.1   289.4   312.1   339.3   374.6   432.9   595.5  1900.2  4525.0 131949.0   132052
read      255.4   163.9    68.9   118.4   133.0   224.9   277.3   309.4   333.5   363.3   402.7   472.7   657.8  1847.2  5073.2 143199.7   143350
read      285.2   193.2    68.9   119.5   135.7   245.1   307.8   345.8   376.8   418.2   477.6   578.7   793.2  2168.1  5810.6 143490.7   143518
read      372.4   223.7    68.9   164.6   193.1   337.1   409.3   454.8   488.9   530.3   583.8   667.9   862.1  2627.4  6619.0 173007.6   172981
read      247.3   216.6    68.9   110.7   122.9   213.3   267.6   298.3   321.0   348.4   385.3   444.5   678.4  2751.3  7222.6  94047.5    94027
read      385.6   184.2    74.4   173.1   203.9   349.9   422.2   472.1   513.8   563.5   621.5   699.2   856.8  1275.1  4950.5 170109.1   170019
read      385.1   170.9    74.4   173.2   204.0   353.8   424.8   472.3   511.1   557.0   612.5   688.7   858.2  1198.4  3459.6 178960.5   179090
read      224.4   119.0    68.9   107.8   118.8   208.9   255.3   277.3   293.1   312.3   337.5   382.2   524.8  1152.3  3057.4  47083.9    47130
read      222.0   107.2    68.9   112.8   129.6   208.2   246.3   266.9   280.8   296.8   318.7   354.5   455.9  1229.2  3526.0  19485.1    19439
read      324.9   295.1    68.9   123.4   140.8   257.4   321.1   361.6   393.6   436.0   508.1   681.5  1633.6  3234.4  7220.7 128961.6   128963
read      227.5   108.2    74.4   110.9   126.3   213.7   255.7   277.3   292.7   311.3   335.5   374.2   481.1   933.2  3546.5  23800.4    23787
read      234.7   126.9    63.8   106.2   116.6   211.6   271.2   300.2   320.4   344.0   375.1   427.4   564.8  1124.8  3300.4  61984.5    61848
read      228.2   128.7    68.9   109.3   120.2   200.8   252.6   283.3   305.8   332.3   365.8   416.7   546.9  1326.7  3420.4 102045.9   101968
read      217.3   121.7    68.9   105.4   115.6   190.4   239.1   269.8   291.5   317.1   348.2   397.1   509.5  1405.1  2947.7 108712.2   108767
read      210.5   110.0    63.8   102.4   111.8   184.6   234.3   265.9   287.1   311.6   340.7   384.2   490.1   948.1  2860.4  96984.9    97139
read      252.6   134.7    63.8   119.7   134.8   225.9   276.1   306.9   330.1   359.3   399.0   467.0   625.3  1287.9  3418.0 158453.5   158594
read      211.8   100.8    68.9   108.6   119.4   188.8   231.1   258.7   278.5   302.3   332.6   378.2   491.9   869.8  2748.6 141092.4   141240
read      243.9   287.7    63.8   100.0   110.9   206.8   257.9   283.4   301.2   322.6   349.9   399.8   991.8  4165.1  8054.8  41419.7    41405
read      266.6   351.8    63.8    98.4   108.2   210.9   277.3   316.2   342.2   371.5   405.1   464.6  1284.3  5327.7  8868.3  57899.6    57997
read      235.7   230.7    68.9   105.3   116.1   190.0   236.8   266.6   288.1   313.8   346.8   410.6  1397.3  3023.2  5946.3 133758.8   133577
read      210.2    94.9    68.9   101.7   110.9   200.1   247.0   268.2   282.0   297.0   317.2   346.9   442.0   741.4  2478.4  53803.2    53832
read      215.7   146.6    63.8   106.2   117.0   186.7   230.0   258.2   278.6   303.3   334.6   383.9   555.5  1988.9  4204.9 139954.0   139832
read      256.2   147.1    68.9   119.9   135.3   228.2   279.9   312.0   336.6   367.4   408.2   472.6   615.2  1534.6  4613.4 170471.0   170515
read      209.4   123.7    63.8   103.9   113.9   181.8   225.0   254.1   274.9   299.8   331.2   377.6   529.5  1489.0  3206.5 128635.6   128494
read      205.8   135.3    68.9   105.6   119.5   190.6   221.5   240.5   253.9   269.0   288.1   319.3   460.2  1996.9  4947.9  20767.7    20789
read      251.8   280.2    63.8    98.0   107.4   205.5   274.5   315.5   343.0   372.9   406.2   458.8   796.3  4517.1  8540.3  63596.9    63647
read      259.2   320.6    63.8    98.2   107.7   206.9   278.6   321.3   350.0   381.7   417.8   475.3  1008.0  4227.4 13002.1  64830.6    64802
read      242.0   190.2    63.8    98.1   107.8   210.4   274.6   311.0   335.1   361.5   392.7   436.7   635.2  2406.4  6742.2  55843.2    55719
read      318.5   224.5    68.9   136.6   156.7   271.3   331.7   374.3   410.0   453.3   505.4   586.3  1368.8  2578.2  5608.5 174224.9   174179
read      216.4   137.6    63.8   104.4   114.6   188.0   237.0   267.7   289.1   313.6   343.1   390.1   529.7  1631.8  3888.7 106374.8   106356
read      312.0   171.4    63.8   137.2   157.5   278.3   340.9   384.5   420.1   462.5   514.8   585.7   724.7  1659.8  5042.0 178668.1   178750
read      240.4   161.9    68.9   112.6   125.2   209.9   262.8   293.1   315.6   342.0   376.7   431.6   613.3  2236.0  4761.2 105873.1   105831
read      229.8   162.4    68.9   108.4   119.5   198.5   249.8   280.5   302.9   329.4   363.5   417.4   599.1  2106.4  3879.2 110722.9   110667
read      179.0    76.5    74.4   117.8   129.6   171.0   188.3   198.6   206.2   215.5   229.9   254.1   334.4  1048.5  2618.0   8745.7     8803
read      239.8   196.9    68.9    98.5   108.9   210.1   268.9   299.8   320.9   343.6   372.1   418.1   717.3  2471.3  7108.4  45730.9    45662
read      223.9   208.2    68.9   102.7   115.3   207.1   255.1   277.6   292.9   311.1   333.9   369.5   478.7  1179.5  8316.9  30907.8    30867
read      236.0   159.1    63.8    98.6   109.0   211.0   270.1   301.5   322.7   345.3   374.3   418.7   573.2  2023.7  5754.9  45787.4    45656
read      216.8   143.4    63.8   102.1   111.7   184.4   238.1   271.0   293.0   318.5   349.7   401.3   569.4  1661.6  4000.9 100863.7   100938
read      216.1   146.0    63.8   106.5   117.4   188.7   233.6   262.5   283.4   308.2   339.3   387.9   521.7  1646.8  4602.6 132664.5   132360
read      216.7   107.7    68.9   103.1   112.8   197.4   256.0   281.3   297.9   316.8   339.6   373.9   470.0   760.8  2494.1  67548.5    67591
read      226.9   117.5    63.8   102.7   114.8   210.0   259.0   283.5   300.4   320.0   344.4   385.0   505.3  1411.1  2848.0  33877.1    33910
read      226.8   149.0    63.8   104.1   114.2   194.8   254.2   286.1   308.2   333.6   366.0   419.1   575.8  1937.5  4160.2  85883.7    85729
read      191.3   114.0    74.4   113.7   129.0   181.9   203.3   215.6   225.9   238.4   254.5   280.0   366.3   973.7  5244.0  12879.1    12884
read      239.8   139.2    63.8   100.1   110.9   214.7   274.8   308.2   330.5   354.9   384.7   428.6   605.2  1592.6  3042.0  45622.9    45621
read      235.8   132.3    68.9   101.8   113.6   215.1   271.4   298.7   317.5   338.4   365.0   404.0   547.3  1622.8  2937.2  37014.0    36938
read      252.4   187.2    68.9    99.8   109.8   216.2   285.9   326.7   354.2   383.9   417.7   469.1   717.8  2527.9  4128.1  56834.2    56902
